o1,o2,>,=,<,scene,freq,typical
armchair,armchair-arm,229,828,25,living_room,1082,=
armchair,armchair-back,16,321,26,living_room,363,=
armchair,armchair-back pillow,16,302,12,living_room,330,=
armchair,armchair-leg,495,48,0,living_room,543,>
armchair,armchair-seat base,216,55,0,living_room,271,>
armchair,armchair-seat cushion,189,273,0,living_room,462,">,="
armchair,blind,0,0,118,living_room,118,<
armchair,book,72,36,21,living_room,129,">,="
armchair,carpet,290,168,0,living_room,458,">,="
armchair,ceiling fan,0,0,127,living_room,127,<
armchair,chair,54,17,155,kitchen,226,<
armchair,chandelier,0,0,103,living_room,103,<
armchair,chandelier-light source,0,0,295,living_room,295,<
armchair,chandelier-shade,0,0,301,living_room,301,<
armchair,clock,0,15,97,living_room,112,<
armchair,coffee table,276,220,15,living_room,511,">,="
armchair,coffee table-leg,133,28,0,living_room,161,>
armchair,column,0,17,84,living_room,101,<
armchair,curtain,0,87,775,living_room,862,<
armchair,cushion,260,1358,200,living_room,1818,=
armchair,door,0,126,270,living_room,396,"=,<"
armchair,door-pane,0,39,167,living_room,206,<
armchair,fireplace,0,266,82,living_room,348,=
armchair,floor,14,478,23,kitchen,515,=
armchair,floor lamp,0,66,182,living_room,248,<
armchair,floor lamp-shade,0,0,224,living_room,224,<
armchair,flowers,14,98,212,living_room,324,"=,<"
armchair,mirror,0,0,154,living_room,154,<
armchair,night table,39,82,17,bedroom,138,">,="
armchair,ottoman,118,115,0,living_room,233,">,="
armchair,outlet,45,76,20,living_room,141,">,="
armchair,picture,31,200,11,bathroom,242,=
armchair,plant,44,248,552,living_room,844,"=,<"
armchair,sconce,0,0,163,living_room,163,<
armchair,sconce-highlight,0,0,105,living_room,105,<
armchair,shelves-shelf,0,18,133,living_room,151,<
armchair,side table,206,552,48,living_room,806,=
armchair,sofa,38,459,65,living_room,562,=
armchair,sofa-arm,123,244,27,living_room,394,">,="
armchair,table,40,205,44,living_room,289,=
armchair,table lamp,0,238,464,living_room,702,"=,<"
armchair,table lamp-base,45,190,69,living_room,304,=
armchair,table lamp-column,0,249,261,living_room,510,"=,<"
armchair,table lamp-highlight,0,55,168,living_room,223,<
armchair,table lamp-light source,0,0,221,living_room,221,<
armchair,table lamp-shade,0,50,521,living_room,571,<
armchair,television,0,58,124,living_room,182,"=,<"
armchair,vase,57,227,304,living_room,588,"=,<"
armchair,window,0,173,34,kitchen,207,=
armchair,window-pane,0,14,279,living_room,293,<
armchair-arm,arm-arm panel,44,136,19,living_room,199,=
armchair-arm,arm-inside arm,171,653,154,living_room,978,=
armchair-arm,arm-outside arm,308,325,28,living_room,661,">,="
armchair-arm,armchair,25,828,229,living_room,1082,=
armchair-arm,armchair-back,22,196,363,living_room,581,"=,<"
armchair-arm,armchair-back pillow,13,170,357,living_room,540,"=,<"
armchair-arm,armchair-earmuffs,0,13,158,living_room,171,<
armchair-arm,armchair-leg,874,53,14,living_room,941,>
armchair-arm,armchair-seat,55,46,10,living_room,111,">,="
armchair-arm,armchair-seat base,366,92,18,living_room,476,>
armchair-arm,armchair-seat cushion,346,375,71,living_room,792,">,="
armchair-arm,armchair-skirt,114,17,0,living_room,131,>
armchair-arm,bed-headboard,0,16,84,bedroom,100,<
armchair-arm,books,69,41,429,living_room,539,<
armchair-arm,cabinet,13,125,270,living_room,408,"=,<"
armchair-arm,cabinet-door,17,52,192,living_room,261,<
armchair-arm,cabinet-drawer,24,31,61,living_room,116,">,=,<"
armchair-arm,candle holder,25,66,162,living_room,253,<
armchair-arm,carpet,163,77,0,living_room,240,">,="
armchair-arm,ceiling,0,0,618,living_room,618,<
armchair-arm,ceiling fan-blade,0,0,132,living_room,132,<
armchair-arm,ceiling recessed light,0,0,730,living_room,730,<
armchair-arm,ceiling recessed light-aperture,0,0,130,living_room,130,<
armchair-arm,ceiling recessed light-light source,0,0,487,living_room,487,<
armchair-arm,chair,32,131,310,living_room,473,<
armchair-arm,chair-leg,119,34,28,living_room,181,>
armchair-arm,chandelier-shade,0,0,137,living_room,137,<
armchair-arm,coffee table,157,134,16,living_room,307,">,="
armchair-arm,coffee table-leg,228,44,0,living_room,272,>
armchair-arm,curtain,0,0,682,living_room,682,<
armchair-arm,cushion,126,544,660,living_room,1330,"=,<"
armchair-arm,door,0,14,238,living_room,252,<
armchair-arm,door-knob,21,10,167,living_room,198,<
armchair-arm,door-muntin,0,0,174,living_room,174,<
armchair-arm,door-pane,0,23,423,living_room,446,<
armchair-arm,double door-door,0,0,131,living_room,131,<
armchair-arm,floor,204,261,48,living_room,513,">,="
armchair-arm,floor lamp,0,19,158,living_room,177,<
armchair-arm,floor lamp-shade,0,0,145,living_room,145,<
armchair-arm,flowerpot,60,59,116,living_room,235,">,=,<"
armchair-arm,flowers,0,19,194,living_room,213,<
armchair-arm,mirror,0,0,113,living_room,113,<
armchair-arm,night table,25,56,49,bedroom,130,"=,<"
armchair-arm,ottoman,67,63,10,living_room,140,">,="
armchair-arm,picture,0,42,1281,living_room,1323,<
armchair-arm,picture-frame,0,0,157,living_room,157,<
armchair-arm,pillow,0,42,124,bedroom,166,<
armchair-arm,plant,0,68,397,living_room,465,<
armchair-arm,shelves-shelf,11,0,281,living_room,292,<
armchair-arm,side table,96,238,169,living_room,503,"=,<"
armchair-arm,sofa,10,169,108,living_room,287,"=,<"
armchair-arm,sofa-arm,115,262,164,living_room,541,">,=,<"
armchair-arm,table lamp,0,14,434,living_room,448,<
armchair-arm,table lamp-base,20,29,143,living_room,192,<
armchair-arm,table lamp-column,0,17,300,living_room,317,<
armchair-arm,table lamp-highlight,0,0,225,living_room,225,<
armchair-arm,table lamp-light source,0,0,153,living_room,153,<
armchair-arm,table lamp-shade,0,0,360,living_room,360,<
armchair-arm,television,0,21,102,living_room,123,<
armchair-arm,vase,23,72,278,living_room,373,<
armchair-arm,wall,11,99,1703,living_room,1813,<
armchair-arm,window,0,0,1082,living_room,1082,<
armchair-arm,window-pane,0,0,439,living_room,439,<
armchair-back,arm-inside arm,188,108,15,living_room,311,">,="
armchair-back,arm-outside arm,175,42,0,living_room,217,>
armchair-back,armchair,26,321,16,living_room,363,=
armchair-back,armchair-arm,363,196,22,living_room,581,">,="
armchair-back,armchair-leg,375,0,0,living_room,375,>
armchair-back,armchair-seat base,127,0,0,living_room,127,>
armchair-back,armchair-seat cushion,180,37,0,living_room,217,>
armchair-back,ceiling,0,0,168,living_room,168,<
armchair-back,ceiling recessed light,0,0,212,living_room,212,<
armchair-back,ceiling recessed light-light source,0,0,137,living_room,137,<
armchair-back,curtain,0,25,198,living_room,223,<
armchair-back,cushion,122,270,48,living_room,440,">,="
armchair-back,floor,110,51,0,living_room,161,">,="
armchair-back,picture,19,40,341,living_room,400,<
armchair-back,plant,0,40,87,living_room,127,"=,<"
armchair-back,side table,71,69,15,living_room,155,">,="
armchair-back,table lamp,0,28,106,living_room,134,<
armchair-back,table lamp-shade,0,12,104,living_room,116,<
armchair-back,vase,22,38,66,living_room,126,"=,<"
armchair-back,wall,0,116,389,living_room,505,<
armchair-back,window,0,41,268,living_room,309,<
armchair-back,window-pane,0,0,122,living_room,122,<
armchair-back pillow,arm-inside arm,181,89,0,living_room,270,">,="
armchair-back pillow,arm-outside arm,164,28,0,living_room,192,>
armchair-back pillow,armchair,12,302,16,living_room,330,=
armchair-back pillow,armchair-arm,357,170,13,living_room,540,">,="
armchair-back pillow,armchair-leg,199,0,0,living_room,199,>
armchair-back pillow,armchair-seat base,139,0,0,living_room,139,>
armchair-back pillow,armchair-seat cushion,217,35,0,living_room,252,>
armchair-back pillow,ceiling,0,0,178,living_room,178,<
armchair-back pillow,ceiling recessed light,0,0,240,living_room,240,<
armchair-back pillow,ceiling recessed light-light source,0,0,173,living_room,173,<
armchair-back pillow,curtain,0,16,174,living_room,190,<
armchair-back pillow,cushion,127,210,39,living_room,376,">,="
armchair-back pillow,picture,0,33,358,living_room,391,<
armchair-back pillow,table lamp,0,30,111,living_room,141,<
armchair-back pillow,table lamp-column,0,39,73,living_room,112,"=,<"
armchair-back pillow,table lamp-shade,0,0,117,living_room,117,<
armchair-back pillow,wall,0,98,454,living_room,552,<
armchair-back pillow,window,0,28,250,living_room,278,<
armchair-earmuffs,armchair-arm,158,13,0,living_room,171,>
armchair-earmuffs,armchair-leg,112,0,0,living_room,112,>
armchair-earmuffs,picture,19,35,110,living_room,164,<
armchair-earmuffs,wall,0,47,118,living_room,165,<
armchair-earmuffs,window,0,14,95,living_room,109,<
armchair-leg,arm-inside arm,13,29,427,living_room,469,<
armchair-leg,arm-outside arm,21,51,260,living_room,332,<
armchair-leg,armchair,0,48,495,living_room,543,<
armchair-leg,armchair-arm,14,53,874,living_room,941,<
armchair-leg,armchair-back,0,0,375,living_room,375,<
armchair-leg,armchair-back pillow,0,0,199,living_room,199,<
armchair-leg,armchair-earmuffs,0,0,112,living_room,112,<
armchair-leg,armchair-seat base,20,41,198,living_room,259,<
armchair-leg,armchair-seat cushion,14,20,345,living_room,379,<
armchair-leg,cabinet,0,19,136,living_room,155,<
armchair-leg,carpet,30,74,55,living_room,159,"=,<"
armchair-leg,ceiling,0,0,313,living_room,313,<
armchair-leg,ceiling recessed light,0,0,331,living_room,331,<
armchair-leg,ceiling recessed light-light source,0,0,219,living_room,219,<
armchair-leg,chair-leg,67,23,58,living_room,148,">,<"
armchair-leg,coffee table,10,52,61,living_room,123,"=,<"
armchair-leg,curtain,0,0,370,living_room,370,<
armchair-leg,cushion,0,34,677,living_room,711,<
armchair-leg,floor,0,156,118,living_room,274,"=,<"
armchair-leg,flowers,0,0,123,living_room,123,<
armchair-leg,picture,0,0,681,living_room,681,<
armchair-leg,picture-frame,0,0,120,living_room,120,<
armchair-leg,pillow,0,0,120,bedroom,120,<
armchair-leg,plant,0,0,191,living_room,191,<
armchair-leg,shelves-shelf,0,0,174,living_room,174,<
armchair-leg,side table,0,44,205,living_room,249,<
armchair-leg,table lamp,0,0,215,living_room,215,<
armchair-leg,table lamp-base,0,0,103,living_room,103,<
armchair-leg,table lamp-column,0,0,160,living_room,160,<
armchair-leg,table lamp-shade,0,0,178,living_room,178,<
armchair-leg,vase,0,0,236,living_room,236,<
armchair-leg,wall,0,14,886,living_room,900,<
armchair-leg,window,0,0,528,living_room,528,<
armchair-leg,window-pane,0,0,188,living_room,188,<
armchair-seat,armchair-arm,10,46,55,living_room,111,"=,<"
armchair-seat base,arm-inside arm,13,45,217,living_room,275,<
armchair-seat base,arm-outside arm,16,110,57,living_room,183,"=,<"
armchair-seat base,armchair,0,55,216,living_room,271,<
armchair-seat base,armchair-arm,18,92,366,living_room,476,<
armchair-seat base,armchair-back,0,0,127,living_room,127,<
armchair-seat base,armchair-back pillow,0,0,139,living_room,139,<
armchair-seat base,armchair-leg,198,41,20,living_room,259,>
armchair-seat base,armchair-seat cushion,14,45,188,living_room,247,<
armchair-seat base,ceiling,0,0,170,living_room,170,<
armchair-seat base,ceiling recessed light,0,0,180,living_room,180,<
armchair-seat base,ceiling recessed light-light source,0,0,124,living_room,124,<
armchair-seat base,curtain,0,0,185,living_room,185,<
armchair-seat base,cushion,0,40,305,living_room,345,<
armchair-seat base,floor,0,105,25,living_room,130,=
armchair-seat base,picture,0,0,371,living_room,371,<
armchair-seat base,side table,0,32,98,living_room,130,<
armchair-seat base,table lamp,0,0,104,living_room,104,<
armchair-seat base,wall,0,0,467,living_room,467,<
armchair-seat base,window,0,0,267,living_room,267,<
armchair-seat base,window-pane,0,0,107,living_room,107,<
armchair-seat cushion,arm-inside arm,36,213,165,living_room,414,"=,<"
armchair-seat cushion,arm-outside arm,95,161,23,living_room,279,">,="
armchair-seat cushion,armchair,0,273,189,living_room,462,"=,<"
armchair-seat cushion,armchair-arm,71,375,346,living_room,792,"=,<"
armchair-seat cushion,armchair-back,0,37,180,living_room,217,<
armchair-seat cushion,armchair-back pillow,0,35,217,living_room,252,<
armchair-seat cushion,armchair-leg,345,20,14,living_room,379,>
armchair-seat cushion,armchair-seat base,188,45,14,living_room,247,>
armchair-seat cushion,ceiling,0,0,271,living_room,271,<
armchair-seat cushion,ceiling recessed light,0,0,321,living_room,321,<
armchair-seat cushion,ceiling recessed light-light source,0,0,227,living_room,227,<
armchair-seat cushion,curtain,0,0,307,living_room,307,<
armchair-seat cushion,cushion,28,128,397,living_room,553,<
armchair-seat cushion,door,0,0,122,living_room,122,<
armchair-seat cushion,door-pane,0,0,204,living_room,204,<
armchair-seat cushion,floor,64,134,28,living_room,226,">,="
armchair-seat cushion,picture,0,10,571,living_room,581,<
armchair-seat cushion,side table,26,86,102,living_room,214,"=,<"
armchair-seat cushion,table lamp,0,0,187,living_room,187,<
armchair-seat cushion,table lamp-column,0,0,123,living_room,123,<
armchair-seat cushion,table lamp-shade,0,0,148,living_room,148,<
armchair-seat cushion,vase,0,23,128,living_room,151,<
armchair-seat cushion,wall,0,14,771,living_room,785,<
armchair-seat cushion,window,0,0,447,living_room,447,<
armchair-seat cushion,window-pane,0,0,203,living_room,203,<
armchair-skirt,armchair-arm,0,17,114,living_room,131,<
armchair-skirt,picture,0,0,131,living_room,131,<
armchair-skirt,wall,0,0,131,living_room,131,<
back-rail,back-spindle,197,104,48,kitchen,349,">,="
back-rail,chair-leg,373,0,0,kitchen,373,>
back-rail,wall,0,15,196,kitchen,211,<
back-spindle,back-rail,48,104,197,kitchen,349,"=,<"
back-spindle,cabinet-drawer,0,41,131,kitchen,172,<
back-spindle,chair,39,323,112,kitchen,474,=
back-spindle,chair-back,0,290,39,kitchen,329,=
back-spindle,chair-leg,582,0,0,kitchen,582,>
back-spindle,chair-stretcher,158,0,0,kitchen,158,>
back-spindle,wall,0,21,186,kitchen,207,<
ball,wall,0,12,89,living_room,101,<
basket,books,35,0,99,kitchen,134,<
basket,cushion,88,44,11,kitchen,143,">,="
basket,drawer-handle,126,0,33,kitchen,159,>
basket,plant,84,62,26,bathroom,172,">,="
basket,table lamp,32,0,84,living_room,116,<
basket,wall,10,60,160,bathroom,230,<
basket,window,50,16,34,bathroom,100,">,<"
bathtub,ceiling,0,0,234,bathroom,234,<
bathtub,curtain,0,23,184,bathroom,207,<
bathtub,door,0,45,111,bathroom,156,<
bathtub,floor,257,123,0,bathroom,380,">,="
bathtub,picture,0,0,106,bathroom,106,<
bathtub,wall,19,230,1002,bathroom,1251,<
bathtub,window,0,0,256,bathroom,256,<
bed,bed-footboard,115,284,0,bedroom,399,=
bed,bed-headboard,0,477,17,bedroom,494,=
bed,bed-leg,400,23,0,bedroom,423,>
bed,box,34,52,19,bedroom,105,">,="
bed,cabinet,34,132,30,bedroom,196,=
bed,carpet,80,20,0,bedroom,100,>
bed,ceiling fan-blade,0,0,131,bedroom,131,<
bed,chest of drawers-drawer,34,103,17,bedroom,154,=
bed,clock,18,83,0,bedroom,101,=
bed,curtain,0,256,18,living_room,274,=
bed,door-pane,0,42,60,bedroom,102,"=,<"
bed,drawer-handle,290,243,44,bedroom,577,">,="
bed,drawer-knob,234,247,47,bedroom,528,">,="
bed,dresser-drawer,89,194,44,bedroom,327,">,="
bed,floor,14,433,0,living_room,447,=
bed,flowers,0,78,32,bedroom,110,=
bed,mirror,0,47,85,bedroom,132,"=,<"
bed,night table,184,609,0,bedroom,793,=
bed,night table-drawer,284,231,0,bedroom,515,">,="
bed,picture,0,160,50,living_room,210,=
bed,pillow,57,816,0,bedroom,873,=
bed,plant,0,61,45,bedroom,106,"=,<"
bed,sconce,0,45,128,bedroom,173,<
bed,table lamp,12,611,13,living_room,636,=
bed,table lamp-base,45,208,0,bedroom,253,=
bed,table lamp-column,15,322,20,bedroom,357,=
bed,table lamp-highlight,12,188,123,bedroom,323,"=,<"
bed,table lamp-light source,0,110,11,living_room,121,=
bed,table lamp-shade,0,300,15,living_room,315,=
bed,vase,14,102,32,bedroom,148,=
bed,wardrobe,0,59,49,bedroom,108,"=,<"
bed,wardrobe-door,0,49,62,bedroom,111,"=,<"
bed,window,0,164,18,living_room,182,=
bed-footboard,bed,0,284,115,bedroom,399,=
bed-footboard,bed-headboard,0,29,117,bedroom,146,<
bed-footboard,bed-leg,311,31,0,bedroom,342,>
bed-footboard,ceiling,0,0,119,bedroom,119,<
bed-footboard,curtain,0,20,140,bedroom,160,<
bed-footboard,cushion,17,89,107,bedroom,213,"=,<"
bed-footboard,drawer-handle,85,103,54,bedroom,242,">,=,<"
bed-footboard,drawer-knob,48,66,63,bedroom,177,">,=,<"
bed-footboard,floor,121,173,0,bedroom,294,">,="
bed-footboard,night table,16,124,50,bedroom,190,=
bed-footboard,night table-drawer,48,107,18,bedroom,173,">,="
bed-footboard,picture,0,17,171,bedroom,188,<
bed-footboard,pillow,11,48,133,bedroom,192,<
bed-footboard,table lamp,0,38,133,bedroom,171,<
bed-footboard,table lamp-shade,0,13,88,bedroom,101,<
bed-footboard,wall,0,65,323,bedroom,388,<
bed-footboard,window,0,14,143,bedroom,157,<
bed-headboard,armchair-arm,84,16,0,bedroom,100,>
bed-headboard,bed,17,477,0,bedroom,494,=
bed-headboard,bed-footboard,117,29,0,bedroom,146,>
bed-headboard,bed-leg,306,0,0,bedroom,306,>
bed-headboard,blind,0,29,71,bedroom,100,<
bed-headboard,books,50,18,34,bedroom,102,">,<"
bed-headboard,cabinet,37,50,13,bedroom,100,">,="
bed-headboard,ceiling,0,0,508,bedroom,508,<
bed-headboard,ceiling recessed light,0,0,144,bedroom,144,<
bed-headboard,chair,65,57,0,bedroom,122,">,="
bed-headboard,chest of drawers-drawer,130,34,10,bedroom,174,>
bed-headboard,clock,130,33,0,bedroom,163,>
bed-headboard,curtain,0,297,419,bedroom,716,"=,<"
bed-headboard,cushion,516,417,0,bedroom,933,">,="
bed-headboard,door,0,134,44,bedroom,178,=
bed-headboard,door-handle,33,33,49,bedroom,115,">,=,<"
bed-headboard,door-pane,0,45,56,bedroom,101,"=,<"
bed-headboard,drawer-handle,579,55,13,bedroom,647,>
bed-headboard,drawer-knob,433,32,0,bedroom,465,>
bed-headboard,dresser-drawer,194,60,0,bedroom,254,>
bed-headboard,floor,450,15,0,bedroom,465,>
bed-headboard,flowers,25,52,35,bedroom,112,">,=,<"
bed-headboard,mirror,0,49,109,bedroom,158,"=,<"
bed-headboard,night table,786,112,0,bedroom,898,>
bed-headboard,night table-drawer,532,0,0,bedroom,532,>
bed-headboard,picture,79,127,803,bedroom,1009,<
bed-headboard,picture-frame,0,21,178,bedroom,199,<
bed-headboard,pillow,524,656,0,bedroom,1180,">,="
bed-headboard,plant,25,66,42,bedroom,133,"=,<"
bed-headboard,sconce,0,59,145,bedroom,204,<
bed-headboard,sconce-shade,0,26,77,bedroom,103,<
bed-headboard,table lamp,72,768,53,bedroom,893,=
bed-headboard,table lamp-base,307,31,0,bedroom,338,>
bed-headboard,table lamp-column,181,290,16,bedroom,487,">,="
bed-headboard,table lamp-highlight,85,220,177,bedroom,482,"=,<"
bed-headboard,table lamp-light source,38,131,63,bedroom,232,"=,<"
bed-headboard,table lamp-shade,46,372,121,bedroom,539,=
bed-headboard,telephone,93,15,0,bedroom,108,>
bed-headboard,vase,55,51,37,bedroom,143,">,=,<"
bed-headboard,wall,38,1348,665,bedroom,2051,"=,<"
bed-headboard,wardrobe-door,0,67,69,bedroom,136,"=,<"
bed-headboard,window,0,273,385,bedroom,658,"=,<"
bed-headboard,window-pane,0,17,89,bedroom,106,<
bed-leg,bed,0,23,400,bedroom,423,<
bed-leg,bed-footboard,0,31,311,bedroom,342,<
bed-leg,bed-headboard,0,0,306,bedroom,306,<
bed-leg,ceiling,0,0,206,bedroom,206,<
bed-leg,chest of drawers-drawer,0,0,155,bedroom,155,<
bed-leg,curtain,0,0,240,bedroom,240,<
bed-leg,cushion,0,0,401,bedroom,401,<
bed-leg,drawer-handle,0,27,404,bedroom,431,<
bed-leg,drawer-knob,0,16,278,bedroom,294,<
bed-leg,dresser-drawer,0,0,176,bedroom,176,<
bed-leg,floor,0,184,171,bedroom,355,"=,<"
bed-leg,night table,0,40,297,bedroom,337,<
bed-leg,night table-drawer,0,39,262,bedroom,301,<
bed-leg,picture,0,0,358,bedroom,358,<
bed-leg,pillow,0,0,398,bedroom,398,<
bed-leg,table lamp,0,0,320,bedroom,320,<
bed-leg,table lamp-base,0,0,134,bedroom,134,<
bed-leg,table lamp-column,0,0,199,bedroom,199,<
bed-leg,table lamp-highlight,0,0,132,bedroom,132,<
bed-leg,table lamp-shade,0,0,218,bedroom,218,<
bed-leg,wall,0,0,692,bedroom,692,<
bed-leg,window,0,0,277,bedroom,277,<
blanket,ceiling,0,0,105,living_room,105,<
blanket,cushion,67,164,94,living_room,325,">,=,<"
blanket,picture,10,11,248,living_room,269,<
blanket,wall,0,45,290,living_room,335,<
blanket,window,0,11,168,living_room,179,<
blind,armchair,118,0,0,living_room,118,>
blind,bed-headboard,71,29,0,bedroom,100,>
blind,books,82,26,14,living_room,122,>
blind,cabinet,21,122,10,bathroom,153,=
blind,cabinet-door,17,109,26,bathroom,152,=
blind,ceiling recessed light,29,21,84,kitchen,134,<
blind,curtain,14,104,19,living_room,137,=
blind,cushion,554,14,0,living_room,568,>
blind,flowerpot,101,0,0,living_room,101,>
blind,night table,124,0,0,bedroom,124,>
blind,picture,243,147,27,living_room,417,">,="
blind,pillow,188,16,0,bedroom,204,>
blind,side table,165,0,0,living_room,165,>
blind,table lamp,118,42,0,living_room,160,>
blind,table lamp-column,122,13,0,living_room,135,>
blind,table lamp-shade,106,39,0,living_room,145,>
blind,vase,96,19,10,living_room,125,>
blind,wall,17,76,18,bathroom,111,=
blind,window,37,18,56,bathroom,111,">,<"
board,door-handle,55,14,38,kitchen,107,">,<"
book,armchair,21,36,72,living_room,129,"=,<"
book,books,19,11,485,kitchen,515,<
book,box,77,21,11,kitchen,109,>
book,cabinet,63,33,180,kitchen,276,<
book,ceiling recessed light,0,0,115,kitchen,115,<
book,chair,19,22,100,kitchen,141,<
book,cushion,150,46,257,living_room,453,">,<"
book,drawer-handle,89,0,11,kitchen,100,>
book,floor,39,73,38,kitchen,150,">,=,<"
book,pillow,0,28,81,bedroom,109,<
book,table lamp,13,12,124,living_room,149,<
book,table lamp-column,14,11,97,living_room,122,<
book,table lamp-shade,13,0,108,living_room,121,<
book,vase,22,18,198,living_room,238,<
book,wall,14,22,124,kitchen,160,<
bookcase,books,106,378,15,living_room,499,=
bookcase,picture,16,126,13,living_room,155,=
bookcase,wall,0,147,28,living_room,175,=
bookcase-shelf,books,413,18,354,living_room,785,">,<"
bookcase-shelf,cushion,137,0,0,living_room,137,>
books,armchair-arm,429,41,69,living_room,539,>
books,basket,99,0,35,kitchen,134,>
