object,entropy,total,red,orange,yellow,brown,green,blue,purple,pink,white,gray,black
pomegranate,0.0,51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metal blade,0.0,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
granola,0.0,34,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bridegroom,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
blackness,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
guacamole,0.0,54,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anchovy,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
jalapeno,0.0,77,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
steel water faucet,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kale,0.0,60,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cement driveway,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
banana laying,0.0,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snowbank,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
snow powder,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
skateboarding boy,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
water mist,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
grizzly,0.0,17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chocolate muffin,0.0,35,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excrement,0.0,21,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
silverwear,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
mozzarella,0.0,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nintendo wii remote,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
broccoli salad,0.0,76,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
coriander,0.0,11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mountain dew,0.0,20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
chocolate brownie,0.0,33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fennel,0.0,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cilantro,0.0,78,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ibis,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
metal bathroom faucet,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
roast,0.0,32,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benjamin franklin,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
wipers,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
cooking stick,0.0,11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
marshmallow,0.0,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mascara,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
toilet urinal,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
rosemary,0.0,14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
sugarcane,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wave splashing,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
breadcrumb,0.0,11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quinoa,0.0,12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
butcher,0.0,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drift,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
snow particle,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
dirt pitching mound,0.0,12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
whiskey,0.0,9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
giraffe poop,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
slug,0.0,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pecan,0.0,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sweater woman,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
whisky,0.0,9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metal sink drain,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
water wake,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
rot,0.0,13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metal flusher,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
aluminium,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
marinara,0.0,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheese burger,0.0,11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blu,0.0,11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pea pod,0.0,20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
talkie,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
sattelite,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
animal sitting,0.0,12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tortellini,0.0,18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tree stick,0.0,12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wasabi,0.0,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
beignet,0.0,16,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crimson,0.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pepperoni topping,0.0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laundry room,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
water wave splashing,0.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
computer operator,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
chard,0.0,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
chicken patty,0.0,13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
machete,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
blood splatter,0.0,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shirt lady,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
collard green,0.0,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
guinness,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
flusher,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
bunch lettuce,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hummus chick pea,0.0,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
row crew,0.0,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
purse lady,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alpaca,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
poem,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
pastry danish,0.0,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capri,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rhea,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
broccoli,0.0046,4087,0.0,0.0,0.0002,0.0002,0.9995,0.0,0.0,0.0,0.0,0.0,0.0
powder snow,0.0057,30588,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.9994,0.0002,0.0002
elephant tusk,0.0065,2721,0.0004,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.9993,0.0,0.0
snow,0.0092,11926,0.0,0.0,0.0002,0.0,0.0,0.0005,0.0,0.0,0.999,0.0003,0.0001
spinach,0.0127,581,0.0,0.0,0.0,0.0,0.9983,0.0,0.0017,0.0,0.0,0.0,0.0
greenery,0.0127,578,0.0,0.0,0.0,0.0,0.9983,0.0,0.0,0.0,0.0,0.0017,0.0
spinach leaf,0.0141,514,0.0,0.0,0.0,0.0,0.9981,0.0,0.0019,0.0,0.0,0.0,0.0
fern tree,0.0167,422,0.0,0.0,0.0024,0.0,0.9976,0.0,0.0,0.0,0.0,0.0,0.0
hamburger,0.0197,347,0.0029,0.0,0.0,0.9971,0.0,0.0,0.0,0.0,0.0,0.0,0.0
foam wave,0.0222,303,0.0,0.0,0.0,0.0,0.0,0.0033,0.0,0.0,0.9967,0.0,0.0
basil leaf,0.0253,927,0.0,0.0,0.0011,0.0,0.9968,0.0011,0.0,0.0,0.0,0.0,0.0011
relish,0.0259,252,0.004,0.0,0.0,0.0,0.996,0.0,0.0,0.0,0.0,0.0,0.0
cucumber,0.0276,700,0.0,0.0,0.0,0.0,0.9957,0.0,0.0,0.0,0.0043,0.0,0.0
fern,0.0281,229,0.0,0.0,0.0,0.0,0.9956,0.0,0.0,0.0,0.0044,0.0,0.0
fern leaf,0.0285,225,0.0,0.0,0.0,0.0,0.9956,0.0,0.0,0.0,0.0044,0.0,0.0
basil,0.0288,222,0.0,0.0,0.0,0.0,0.9955,0.0,0.0,0.0,0.0,0.0,0.0045
carrot slice,0.0296,485,0.0021,0.9959,0.0,0.0,0.0,0.0,0.0,0.0021,0.0,0.0,0.0
hardwood flooring,0.0311,203,0.0,0.0,0.0,0.9951,0.0,0.0,0.0,0.0,0.0049,0.0,0.0
evergreen,0.0315,200,0.0,0.0,0.0,0.005,0.995,0.0,0.0,0.0,0.0,0.0,0.0
biscuit,0.0335,186,0.0,0.0,0.0054,0.9946,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bagel,0.0346,404,0.0,0.0,0.0025,0.995,0.0,0.0,0.0,0.0,0.0025,0.0,0.0
rust,0.0351,703,0.0,0.0057,0.0,0.9943,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base line,0.0388,156,0.0,0.0,0.0064,0.0,0.0,0.0,0.0,0.0,0.9936,0.0,0.0
wood chip,0.0405,148,0.0,0.0,0.0,0.9932,0.0,0.0,0.0,0.0,0.0068,0.0,0.0
plane tire,0.0422,642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031,0.0031,0.9938
asparagus,0.0429,138,0.0,0.0,0.0,0.0,0.9928,0.0,0.0,0.0,0.0072,0.0,0.0
carrot,0.0446,2958,0.0007,0.9943,0.002,0.0003,0.0003,0.0,0.0014,0.0,0.001,0.0,0.0
truck tire,0.0455,1426,0.0007,0.0,0.0,0.0035,0.0,0.0,0.0,0.0,0.0007,0.0014,0.9937
kitchen sink faucet,0.0457,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078,0.9922,0.0
heinz ketchup,0.0457,128,0.9922,0.0078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
broccoli piece,0.0475,611,0.0,0.0,0.0,0.0,0.9918,0.0,0.0082,0.0,0.0,0.0,0.0
tusk,0.0478,364,0.0,0.0,0.0082,0.0,0.0,0.0,0.0,0.0,0.9918,0.0,0.0
ivy,0.0509,257,0.0,0.0,0.0,0.0039,0.9922,0.0,0.0039,0.0,0.0,0.0,0.0
scissor blade,0.0514,111,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.991,0.0
flour,0.0529,246,0.0041,0.0,0.0041,0.0,0.0,0.0,0.0,0.0,0.9919,0.0,0.0
kitchen faucet,0.053,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0093,0.9907,0.0
ocean tide,0.0542,104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9904,0.0096,0.0
home plate base,0.0553,943,0.0021,0.0011,0.0011,0.0011,0.0,0.0,0.0,0.0,0.9926,0.0,0.0021
metal sink faucet,0.0555,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9901,0.0099
houseplant,0.0569,98,0.0,0.0,0.0,0.0,0.9898,0.0,0.0,0.0,0.0,0.0,0.0102
moose,0.0569,98,0.0,0.0,0.0,0.9898,0.0,0.0,0.0,0.0,0.0102,0.0,0.0
chrome fixture,0.06,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9891,0.0109
mayo,0.0616,89,0.0,0.0,0.0112,0.0,0.0,0.0,0.0,0.0,0.9888,0.0,0.0
chrome kitchen faucet,0.0628,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9885,0.0115
knife blade,0.0628,574,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.9895,0.0087
rubber bike tire,0.064,196,0.0,0.0,0.0,0.0051,0.0,0.0,0.0,0.0,0.0,0.0051,0.9898
