,o1,o2,>,<,typical
341,mountain,suv,112,19,>
342,forest,helmet,332,11,>
343,tire,walkway,8,100,<
344,napkin,button,120,42,>
345,stove,pair,83,18,>
346,pair,bleacher,26,139,<
347,beach,handle,109,20,>
348,something,letter,95,17,>
349,mud,horse,59,245,<
350,bear,arm,2157,614,>
351,cat,wire,1080,257,>
352,pipe,toilet,302,2879,<
353,brick,symbol,92,22,>
354,pant,handle,580,94,>
355,surf board,surfing,43,168,<
356,pizza,towel,303,23,>
357,vase,opening,358,36,>
358,truck,entrance,84,30,>
359,tree,emblem,274,2,>
360,boat,bow,628,76,>
361,ear,bear,1124,19791,<
362,microwave,sweater,24,76,<
363,beach,snow,118,43,>
364,snow,person,1069,197,>
365,wave,person,569,74,>
366,cup,hat,204,535,<
367,leg,wrinkle,123,23,>
368,cellphone,computer,14,115,<
369,pole,frisbee,230,581,<
370,door,dot,145,13,>
371,bridge,zebra,12,142,<
372,surf board,t-shirt,78,22,>
373,bag,bridge,14,105,<
374,logo,net,21,292,<
375,table,woman,242,69,>
376,bunch,head,521,183,>
377,dog,package,111,29,>
378,bush,tile,84,36,>
379,shirt,decal,120,13,>
380,plate,raspberry,218,31,>
381,sweater,tie,442,119,>
382,microwave oven,stove,34,207,<
383,button,charger,13,131,<
384,sign,smoke,55,310,<
385,banana,berry,87,23,>
386,pebble,bear,14,87,<
387,ripple,raft,33,108,<
388,suit,speaker,78,23,>
389,helmet,child,31,121,<
390,elephant,head,1010,139,>
391,hand,statue,103,609,<
392,leaf,toddler,9,95,<
393,box,soda,175,43,>
394,photograph,umbrella,173,21,>
395,hill,tent,118,13,>
396,crosswalk,awning,163,13,>
397,border,handle,87,15,>
398,balloon,cake,139,520,<
399,tap,light,29,71,<
400,box,microwave,84,408,<
401,seat,bleacher,27,79,<
402,tongue,eye,88,32,>
403,cone,table,30,72,<
404,shoe,shoe lace,465,29,>
405,outlet,handle,24,110,<
406,bag,elephant,45,568,<
407,bottle,door,87,1545,<
408,jar,shelf,40,171,<
409,fur,mouth,524,103,>
410,train,gold,123,27,>
411,tape,shirt,83,316,<
412,catcher,belt,618,12,>
413,tree,balloon,289,91,>
414,bear,rope,253,44,>
415,sign,illustration,103,14,>
416,cabinet,button,278,18,>
417,pillow,horse,24,107,<
418,shirt,bottle,5583,607,>
419,slope,bottom,84,22,>
420,plug,keyboard,22,136,<
421,shirt,head band,517,92,>
422,ship,sign,136,53,>
423,ring,strap,11,145,<
424,bike,pole,1676,589,>
425,seat,paper,148,54,>
426,sandal,bush,13,117,<
427,signage,tree,31,90,<
428,stair,shirt,1115,331,>
429,garbage,toilet,72,533,<
430,type,pepper,106,6,>
431,shoe,bear,143,334,<
432,guy,paper,197,63,>
433,spot,beach,16,147,<
434,pizza,pot,293,62,>
435,van,number,410,32,>
436,head,blanket,95,278,<
437,stool,handle,149,23,>
438,cup,tshirt,7,116,<
439,traffic,car,1189,255,>
440,glare,table,29,141,<
441,ladder,house,47,118,<
442,balcony,train,29,225,<
443,object,track,36,123,<
444,sandwich,bag,359,126,>
445,tv,screen,476,200,>
446,lunch,glass,171,15,>
447,glove,pack,37,96,<
448,brownie,cake,41,109,<
449,finger,frisbee,66,179,<
450,ear,apron,3,194,<
451,star,boat,0,121,<
452,cabinet,glass,818,271,>
453,key,carpet,15,227,<
454,fridge,cabinet,986,348,>
455,baby,trunk,90,11,>
456,zipper,cat,158,1174,<
457,pumpkin,corn,81,34,>
458,briefcase,tie,94,19,>
459,bird,spot,2327,308,>
460,shower,rug,81,23,>
461,head,jacket,278,1746,<
462,sheep nose,lamb,2,192,<
463,ear,head,207,5161,<
464,snow,beanie,743,88,>
465,hood,tree,116,470,<
466,number,sleeve,35,104,<
467,pot,button,138,21,>
468,helmet,star,98,26,>
469,snow,shoe,1798,394,>
470,belt,sleeve,38,101,<
471,portion,dog,119,550,<
472,curtain,trash,223,5,>
473,rail,shoe,355,38,>
474,star,kite,18,186,<
475,mountain,pick,109,6,>
476,mountain,number,532,24,>
477,vase,guy,7,95,<
478,bracelet,knife,26,145,<
479,fencing,hat,152,16,>
480,tile,rat,2,120,<
481,house,beach,229,544,<
482,plate,star,344,11,>
483,advertisement,hat,363,73,>
484,tarmac,wheel,183,10,>
485,pillow,speaker,264,84,>
486,skin,giraffe,54,234,<
487,barrel,truck,35,253,<
488,baby,sink,89,37,>
489,fork,desert,26,107,<
490,cloth,mirror,62,238,<
491,vase,desk,19,152,<
492,wii,cord,187,34,>
493,bus,hole,144,0,>
494,cup,finger,137,41,>
495,design,sheet,51,125,<
496,comforter,bag,132,24,>
497,pedestrian,bike,36,155,<
498,mouse,monitor,94,2757,<
499,wristwatch,hand,15,105,<
500,dot,door,13,145,<
501,light,vegetable,48,128,<
502,window,traffic,61,383,<
503,leaf,crosswalk,16,116,<
504,watch,cup,33,127,<
505,backpack,strap,554,31,>
506,forest,roof,94,8,>
507,toilet,doorknob,235,2,>
508,glass,screen,192,455,<
509,bowl,biscuit,87,30,>
510,lane,car,362,120,>
511,court,logo,268,14,>
512,hat,vest,324,1021,<
513,cabinet,letter,189,18,>
514,bike,glove,601,78,>
515,roof,leaf,1102,344,>
516,shoe,slope,4,99,<
517,bit,bowl,16,194,<
518,jersey,soccer,9,356,<
519,fridge,towel,253,20,>
520,pile,elephant,191,956,<
521,girl,banana,36,101,<
522,costume,bag,147,5,>
523,helmet,snow boarding,4,99,<
524,fence,hoof,304,12,>
525,person,pant,219,673,<
526,shirt,bridge,145,804,<
527,spectator,ball,435,185,>
528,baseman,batter,8,95,<
529,elephant,letter,265,20,>
530,shirt,grape,242,55,>
531,tip,hill,1,140,<
532,giraffe,trash,98,5,>
533,pizza,potato,135,57,>
534,cheese,speck,111,9,>
535,hoof,bull,30,201,<
536,chimney,bench,8,95,<
537,thumb,pant,12,96,<
538,fruit,peach,312,124,>
539,advertisement,lettering,98,29,>
540,broccoli,ham,33,77,<
541,bottle,computer,33,295,<
542,hotdog,pepper,167,9,>
543,necklace,bird,43,123,<
544,boat,fruit,235,48,>
545,skirt,person,84,27,>
546,bread,object,76,25,>
547,car,animal,144,352,<
548,shirt,sail,37,227,<
549,dress,gold,89,28,>
550,tower,archway,103,26,>
551,outlet,door,37,1212,<
552,foot,wood,67,271,<
553,cloth,bottom,105,37,>
554,apron,ear,194,3,>
555,dress,orange,185,78,>
556,weather,flag,117,3,>
557,buggy,car,103,37,>
558,cake,fork,2673,1071,>
559,outfit,window,320,92,>
560,meal,salad,247,25,>
561,hand,icing,144,54,>
562,onion,spoon,110,330,<
563,dog nose,tan,17,117,<
564,cat,guy,40,183,<
565,screw,knife,1,119,<
566,key,note,30,101,<
567,finger,computer,14,93,<
568,logo,jean,28,510,<
569,necklace,bracelet,276,68,>
570,bench,fixture,120,25,>
571,plant,mug,111,47,>
572,spot,dog,366,3881,<
573,bed,stack,350,40,>
574,button,television remote,0,119,<
575,statue,church,13,162,<
576,portion,keyboard,28,90,<
577,pot,cabinet,155,852,<
578,cement,wheel,210,40,>
579,train,baby,94,24,>
580,park,pant,336,54,>
581,bark,zebra,37,181,<
582,bottom,cake,73,388,<
583,celery,board,31,81,<
584,rope,truck,46,153,<
585,kitten,bag,98,32,>
586,knife,bulb,89,12,>
587,sign,day,71,925,<
588,number,bear,17,326,<
589,alligator,eye,99,1,>
590,post,paint,161,61,>
591,kitchen,pair,176,23,>
592,clock,crown,125,16,>
593,tree,bracket,147,9,>
594,exhaust,bike,18,152,<
595,case,television,12,106,<
596,blind,refrigerator,38,150,<
597,archway,building,149,461,<
598,doorknob,tile,3,109,<
599,stubble,shirt,22,155,<
600,kitchen,blender,144,17,>
601,chef,button,104,4,>
602,shoe,suit case,4,129,<
603,ear,coat,24,665,<
604,handle,camera,31,130,<
605,arm,pizza,96,330,<
606,outfit,button,116,5,>
607,paper,office,1,123,<
608,body,letter,471,21,>
609,pizza,blind,92,26,>
610,boot,jockey,19,192,<
611,strap,fence,32,158,<
612,spinach,leaf,111,46,>
613,knife,salad,51,318,<
614,cellphone,mouth,176,15,>
615,sign,tunnel,55,167,<
616,forest,shirt,572,49,>
617,letter,fridge,6,205,<
618,branch,foot,157,27,>
619,bench,pattern,167,45,>
620,lace,sneaker,13,118,<
621,light,rug,262,1203,<
622,purse,key,130,14,>
623,letter,bar,57,332,<
624,sun glass,jean,24,112,<
625,spoon,ware,118,50,>
626,blender,bowl,284,62,>
627,dog,triangle,95,5,>
628,vegetation,tail,128,5,>
629,knife,finger,212,74,>
630,tree,feather,599,110,>
631,bottle,eye,443,44,>
632,sign,mat,25,93,<
633,rail,pant,374,101,>
634,path,bear,120,42,>
635,blender,refrigerator,21,138,<
636,frisbee,hill,90,343,<
637,coat,statue,37,161,<
638,cow,dress,256,48,>
639,dog,holder,181,38,>
640,vase,spot,385,39,>
641,eye,ceiling,6,121,<
642,building,ear,982,51,>
643,dessert,sugar,167,5,>
644,step,house,47,358,<
645,bowl,cow,29,107,<
646,tree,garbage,546,70,>
647,flower,garden,51,396,<
648,hat,advertisement,73,363,<
649,hill,wing,82,28,>
650,bike,cone,359,36,>
651,lettuce,bean,79,26,>
652,sheep,hoof,536,24,>
653,stripe,mountain,102,545,<
654,valley,sheep,190,40,>
655,wood,elephant,230,729,<
656,train,plank,292,31,>
657,pillow,bed spread,92,475,<
658,horse,fur,1336,135,>
659,horse,bottom,587,161,>
660,button,fabric,11,135,<
661,tree,paddle,180,77,>
662,fruit,grape,1071,176,>
663,plate,pepperoni,804,200,>
664,bench,streetlight,80,23,>
665,building,field,361,1126,<
666,snow,flag,1757,647,>
667,wheel,snow,74,346,<
668,jacket,pan,83,19,>
669,truck,gate,136,57,>
670,triangle,car,57,164,<
671,plant,outlet,207,4,>
672,cabinet,book,533,110,>
673,letter,portion,50,264,<
674,fixture,tub,21,87,<
675,banner,bike,72,238,<
676,wheel,hoodie,27,297,<
677,lock,car,2,109,<
678,light,cow,120,599,<
679,microwave,bottle,473,43,>
680,suit,frame,75,32,>
681,house,shrub,234,97,>
682,vase,microwave,19,94,<
683,brick,tunnel,10,141,<
684,bench,stack,134,29,>
685,strap,giraffe,8,134,<
686,glass,snow,216,1019,<
687,selfie,light,103,6,>
688,bike,beard,109,19,>
689,bird,frisbee,30,97,<
690,cat,bedsheet,125,33,>
691,luggage tag,luggage,14,253,<
692,wheel,stair,46,212,<
693,olive,container,24,96,<
694,marking,letter,257,38,>
695,beam,flower,91,22,>
696,sign,sweater,215,629,<
697,day,cap,138,0,>
698,hose,light,183,48,>
699,brick,wire,145,384,<
700,table,microwave,613,190,>
701,ear,doll,20,281,<
702,mountain,mirror,155,57,>
703,lamp,curtain,536,3525,<
704,tree,bud,171,56,>
705,backpack,handle,353,22,>
706,shirt,pepper,220,23,>
707,dock,hat,101,32,>
708,shirt,mole,180,3,>
709,paper,mug,242,57,>
710,strap,elephant,56,438,<
711,mattress,pile,88,19,>
712,shaker,pizza,4,362,<
713,socket,sink,0,194,<
714,label,window,48,233,<
715,curb,wheel,215,58,>
716,microwave,knob,1746,42,>
717,phone,zipper,111,14,>
718,logo,tie,49,215,<
719,cake,flame,206,27,>
720,pepper,lettuce,39,196,<
721,pole,baby,31,88,<
722,logo,van,40,249,<
723,mouse,sweater,11,139,<
724,letter,shelf,5,186,<
725,ball,horse,7,196,<
726,bird,park,20,109,<
727,shoe,advertisement,52,245,<
728,spoon,pile,76,210,<
729,pole,rail,174,545,<
730,spoon,toast,16,125,<
731,sign,collection,14,162,<
732,mirror,bus,284,3135,<
733,ladder,snow,29,95,<
734,train,trim,352,87,>
735,clock,bed,9,588,<
736,cat,device,284,20,>
737,grape,container,29,228,<
738,family,umbrella,145,44,>
739,building,day time,7,403,<
740,train,connector,99,2,>
741,tan,drawer,91,37,>
742,cow,rope,1611,440,>
743,pile,bottom,251,55,>
744,key,cellphone,23,318,<
745,logo,bike,30,621,<
746,kid,candle,131,26,>
747,shoe,train,31,983,<
748,ripple,ear,262,85,>
749,plant,shutter,47,116,<
750,toaster,knife,90,10,>
751,mouse,toy,17,98,<
752,ramp,bike,126,34,>
753,sauce,shirt,73,466,<
754,bed,bottle,563,9,>
755,note,computer,13,142,<
756,plate,dot,495,44,>
757,horse,collar,366,15,>
758,marking,horse,63,587,<
759,window,signpost,15,118,<
760,horse,head,2256,202,>
761,stone,pizza,69,163,<
762,pizza,watch,583,29,>
763,propeller,helicopter,67,193,<
764,ear,bow,49,138,<
765,bottle,beard,27,133,<
766,body,flag,279,48,>
767,cellphone,bracelet,169,31,>
768,knife,dinner,0,103,<
769,collar,mouth,244,52,>
770,baby,strap,261,22,>
771,tree,wrist,138,3,>
772,machine,screen,110,30,>
773,dog,sleeve,345,91,>
774,costume,dress,98,15,>
775,building,basket,287,64,>
776,paint,train,110,1285,<
777,wheel,dog,497,1703,<
778,post,crosswalk,25,78,<
779,corn,tomato,113,30,>
780,paper,microwave,48,228,<
781,drain,tile,58,628,<
782,tent,ear,90,11,>
783,band,shirt,182,2348,<
784,knob,table,19,605,<
785,luggage,box,254,67,>
786,pipe,bicycle,30,86,<
787,flag,wood,36,203,<
788,soccer,uniform,256,37,>
789,hand,eyebrow,374,10,>
790,donut,ring,374,60,>
791,number,barrier,5,123,<
792,runway,light,225,22,>
793,pad,tree,84,419,<
794,board,paper,441,141,>
795,meal,shrimp,97,17,>
796,toilet,chrome,172,10,>
797,bracelet,camera,24,239,<
798,chain,weed,28,122,<
799,wheel,tower,41,132,<
800,jacket,policeman,25,118,<
801,curtain,collar,145,13,>
802,stripe,outlet,190,4,>
803,moss,eye,135,2,>
804,platter,spoon,198,20,>
805,train,sign,13881,638,>
806,carpet,mouse,129,12,>
807,surfer,dog,252,74,>
808,catcher,bleacher,77,188,<
809,onion,veggie,45,138,<
810,plate,nail,118,7,>
811,orange,surf board,43,104,<
812,cap,tshirt,18,96,<
813,cat,glass,2013,544,>
814,mountain,bull,84,33,>
815,knob,glass,58,354,<
816,hallway,window,121,14,>
817,cup,banner,11,101,<
818,fruit,produce,53,189,<
819,watch,ball,20,92,<
820,fence,bin,126,29,>
821,outfit,bike,55,138,<
822,uniform,hand,510,46,>
823,horn,horse,53,247,<
824,spot,bear,94,925,<
825,title,book,7,130,<
826,pizza,girl,83,18,>
827,car,bat,79,209,<
828,shoe,vehicle,73,348,<
829,light,plate,587,1787,<
830,shirt,family,32,813,<
831,giraffe,silhouette,99,25,>
832,cooler,umpire,0,123,<
833,hand,mouse,286,109,>
834,costume,wave,11,236,<
835,flower,tooth,25,87,<
836,clock,vine,18,98,<
837,tie,jacket,558,2497,<
838,logo,wire,24,241,<
839,lock,luggage,15,230,<
840,sculpture,sign,157,55,>
841,watch,computer,11,162,<
842,zebra,cheetah,167,18,>
843,paper,button,898,95,>
844,bow,cat,25,242,<
845,pebble,glass,5,109,<
846,utensil,kitchen,10,190,<
847,wheel,store,16,91,<
848,animal,flag,133,40,>
849,neck,plant,46,109,<
850,bear,lip,138,21,>
851,jet,letter,457,13,>
852,window,banner,434,1451,<
853,cow grazing,hill,9,116,<
854,day,frisbee,238,26,>
855,bicycle,basket,863,59,>
856,pillow,tub,7,135,<
857,train,marking,157,21,>
858,chain,tree,481,1692,<
859,sticker,helmet,40,153,<
860,jacket,spectator,83,333,<
861,bed,toilet,115,18,>
862,day,track,154,19,>
863,cap,roof,41,123,<
864,tile,stand,57,144,<
865,cage,eye,134,2,>
866,snow,heap,181,32,>
867,cat,band,135,1,>
868,truck,cover,165,27,>
869,kitchen,blind,141,16,>
870,leaf,wire,153,678,<
871,rock,pond,42,381,<
872,advertisement,number,303,30,>
873,ear,comforter,2,136,<
874,plant,bolt,108,5,>
875,bowl,veggie,337,79,>
876,belly,horse,52,458,<
877,light,bumper,28,253,<
878,stool,blind,18,88,<
879,cord,computer,84,661,<
880,helmet,day time,1,128,<
881,baby,candle,318,14,>
882,pillow,bed,1603,18999,<
883,counter,cap,90,18,>
884,refrigerator,orange,154,31,>
885,pair,lawn,13,90,<
886,light,ben,7,111,<
887,horn,dog,0,117,<
888,brick,bear,166,578,<
889,person,skirt,27,84,<
890,button,skirt,17,85,<
891,plant,track,56,159,<
892,lip,bear,21,138,<
893,pant,day,13,457,<
894,ear,person,24,122,<
895,shoe,hotdog,13,113,<
896,bridge,pole,1137,229,>
897,carrot,root,71,30,>
898,disc,keyboard,9,101,<
899,nail polish,hand,9,145,<
900,letter,giraffe,16,201,<
901,helmet,logo,488,202,>
902,cap,cow,64,324,<
903,backpack,sheep,10,106,<
904,bean,noodle,151,44,>
905,bag,rail,52,123,<
906,woman,ski,30,111,<
907,snowsuit,jacket,166,49,>
908,leaf,decoration,53,186,<
909,bench,watch,511,31,>
910,tile,bench,207,909,<
911,boat,stair,415,76,>
912,bottle,blind,15,273,<
913,night stand,comforter,13,179,<
914,spot,hydrant,11,109,<
915,bush,seat,144,54,>
916,building,screw,109,5,>
917,crust,leaf,156,47,>
918,stove,clock,317,19,>
919,stack,microwave,21,121,<
920,design,tennis,0,154,<
921,counter,cord,122,24,>
922,tusk,field,0,120,<
923,shoe,band,213,33,>
924,clock,fan,21,110,<
925,trash,sticker,88,15,>
926,giraffe,bench,147,15,>
927,cushion,blind,27,146,<
928,train,cone,340,13,>
929,star,pant,40,132,<
930,wheel,eye,145,22,>
931,toilet,cover,386,52,>
932,shoe,garbage,32,75,<
933,clothe,building,77,385,<
934,glass,giraffe,87,595,<
935,foot,seagull,17,86,<
936,letter,doll,9,122,<
937,person,bike,35,163,<
938,string,surfer,34,193,<
939,sandal,kid,23,200,<
940,desk,bottom,107,33,>
941,snow board,glove,625,76,>
942,light,wii,32,365,<
943,dog,cord,686,110,>
944,glass,steak,17,104,<
945,jacket,snowboarding,21,247,<
946,skin,apple,134,321,<
947,eye,hole,32,80,<
948,hoodie,purse,81,31,>
