,o1,o2,>,<,typical
97,holder,sink,23,257,<
98,stem,sandwich,5,151,<
99,stack,mouse,320,52,>
100,gold,building,110,278,<
101,glass,coat,369,1392,<
102,bread,sugar,113,12,>
103,point,snow,5,119,<
104,watch,stack,18,86,<
105,cow,windmill,36,113,<
106,table,button,2530,214,>
107,hill,mane,104,4,>
108,jacket,kid,543,1449,<
109,railing,post,217,59,>
110,dirt,arm,283,92,>
111,steeple,boat,15,86,<
112,office,monitor,156,7,>
113,number,jean,48,388,<
114,pile,backpack,120,38,>
115,roof,mountain,85,499,<
116,branch,eye,921,26,>
117,horse,cap,2114,150,>
118,beef,dish,17,85,<
119,train,seat,375,110,>
120,ski,stripe,303,31,>
121,giraffe,glass,595,87,>
122,chain,bear,76,429,<
123,vase,ring,143,15,>
124,television,plate,174,55,>
125,moss,bush,35,108,<
126,banana,forest,6,100,<
127,body,flag,279,48,>
128,weather,clock,101,13,>
129,plant,mug,111,47,>
130,hand,pizza,630,2583,<
131,horn,calf,8,111,<
132,cleat,frisbee,100,443,<
133,container,carrot,782,279,>
134,clock,day time,5,109,<
135,umbrella,key,106,6,>
136,object,cat,206,1002,<
137,bedspread,sheet,131,40,>
138,level,window,624,65,>
139,eye,clothe,7,134,<
140,sandwich,plastic,197,44,>
141,train,cone,340,13,>
142,toddler,sock,108,8,>
143,bracelet,helmet,26,103,<
144,train,boxcar,145,41,>
145,bush,eye,780,27,>
146,animal,bowl,170,15,>
147,label,bunch,8,103,<
148,bear,tire,307,119,>
149,sauce,dessert,14,113,<
150,sneaker,sheep,12,92,<
151,fork,window,86,223,<
152,bulb,door,20,154,<
153,stack,mug,173,66,>
154,bottom,computer,7,99,<
155,calf,eye,118,2,>
156,wii,hat,136,31,>
157,kid,girl,159,19,>
158,vent,truck,23,156,<
159,donut,center,744,138,>
160,light,path,31,129,<
161,pan,spoon,300,83,>
162,dirt,train,203,637,<
163,tennis,person,259,16,>
164,leg,suit,44,531,<
165,flower,bedspread,9,264,<
166,key,screen,63,1490,<
167,table,tip,381,20,>
168,bicycle,hand,443,108,>
169,ear,surfer,1,264,<
170,strawberry,dish,12,159,<
171,cabinet,dish,369,75,>
172,gum,candy,122,19,>
173,pair,computer,50,369,<
174,bag,dot,226,21,>
175,counter,straw,109,7,>
176,rug,fixture,210,49,>
177,ripple,bridge,68,524,<
178,fan,letter,249,20,>
179,speck,pizza,9,104,<
180,cover,eye,136,3,>
181,icon,cellphone,2,114,<
182,mask,flower,82,19,>
183,bus,dirt,227,85,>
184,device,shirt,140,363,<
185,center,dog,89,240,<
186,t-shirt,stripe,276,68,>
187,helmet,chalk,8,99,<
188,table,face,591,177,>
189,keyboard,poster,56,209,<
190,kite,jean short,91,26,>
191,pot,toaster,76,31,>
192,shoe,stroller,20,122,<
193,bus,pillar,205,69,>
194,cleat,batter,23,248,<
195,beak,bench,0,113,<
196,book,sofa,60,981,<
197,bottom,animal,88,354,<
198,store,window,935,158,>
199,pair,lettering,187,69,>
200,letter,keyboard,77,982,<
201,stopper,toilet,0,104,<
202,screen,cable,133,43,>
203,bottle,sofa,5,179,<
204,dress,beach,46,211,<
205,bed,cat nose,114,0,>
206,wheel,leg,137,471,<
207,post,day,4,141,<
208,fur,car,27,150,<
209,eye,desk,2,123,<
210,field,cow,4858,1389,>
211,flag,weather,3,117,<
212,belt,bench,13,279,<
213,light,symbol,180,61,>
214,wheel,machine,15,133,<
215,roof,bear,29,84,<
216,flower,menu,39,116,<
217,net,window,112,32,>
218,broccoli,flower,231,56,>
219,magazine,letter,160,10,>
220,giraffe,body,138,44,>
221,spot,weed,22,215,<
222,crust,leaf,156,47,>
223,surf board,t-shirt,78,22,>
224,wave,band,361,5,>
225,screen,plant,131,40,>
226,stair,shirt,1115,331,>
227,hat,ship,22,109,<
228,church,flower,97,5,>
229,kid,family,17,83,<
230,couple,cow,267,85,>
231,bag,whisker,130,11,>
232,vase,handle,1411,165,>
233,horse,splash,89,13,>
234,rain,dress,100,20,>
235,pasture,dog,105,3,>
236,tape,truck,29,71,<
237,signage,tree,31,90,<
238,handle,orange,167,702,<
239,hand,elephant,97,1284,<
240,frisbee,cone,792,76,>
241,pole,hood,96,40,>
242,scissors,number,173,1,>
243,sneaker,bush,39,157,<
244,bike,horse,182,432,<
245,tv,paper,276,49,>
246,tile,steel,41,125,<
247,whisker,cat nose,346,27,>
248,shoe,tip,126,16,>
249,tip,fork,19,207,<
250,handle,bear,44,243,<
251,icing,train,28,80,<
252,cat,lettering,284,27,>
253,cord,cabinet,33,322,<
254,gold,wheel,91,20,>
255,snow,beanie,743,88,>
256,shutter,bird,100,31,>
257,guy,ball,467,137,>
258,pan,refrigerator,4,188,<
259,glass,lettering,211,85,>
260,paper,umbrella,73,329,<
261,cake,hand,1504,466,>
262,jean,band,261,7,>
263,zipper,sign,21,83,<
264,pitcher,ear,111,0,>
265,candle,stand,6,94,<
266,collar,mouth,244,52,>
267,pant,hand,3513,1011,>
268,napkin,carrot,182,68,>
269,leaf,zebra eating,2,98,<
270,foot,wheel,490,126,>
271,tent,ear,90,11,>
272,tire,ladder,60,227,<
273,glass,eyebrow,297,7,>
274,jean,container,151,46,>
275,spot,dog,366,3881,<
276,strap,snow,132,731,<
277,plate,hole,686,48,>
278,helmet,branch,46,108,<
279,tire,advertisement,23,111,<
280,crowd,hat,1386,179,>
281,string,helmet,98,8,>
282,tv,screen,476,200,>
283,skin,shirt,123,304,<
284,printer,cord,85,30,>
285,printer,desk,48,370,<
286,paper,lettuce,262,88,>
287,fence,vine,89,34,>
288,tent,bus,63,151,<
289,counter,fixture,105,32,>
290,note,computer,13,142,<
291,dog,scarf,696,208,>
292,bottle,pole,32,94,<
293,tie,outfit,26,125,<
294,racket,wrist band,692,35,>
295,dog,rock,2697,892,>
296,window,roof,942,6444,<
297,tv,glass,657,262,>
298,couch,face,158,15,>
299,portrait,table,30,117,<
300,blanket,ring,141,10,>
301,icing,cup,45,108,<
302,corn,tomato,113,30,>
303,bowl,blanket,10,140,<
304,tie,animal,28,85,<
305,jean,plate,258,103,>
306,burner,stove,97,653,<
307,plant,feather,218,36,>
308,railing,seat,79,31,>
309,banana,price tag,106,6,>
310,orange,crowd,26,176,<
311,vine,giraffe,38,138,<
312,racket,leaf,172,45,>
313,desk,poster,260,67,>
314,cover,bed,97,457,<
315,bear,jug,93,10,>
316,packet,glass,34,118,<
317,letter,beer,11,226,<
318,truck,shingle,98,9,>
319,cycle,shirt,107,33,>
320,flag,frisbee,101,276,<
321,pad,dog,64,261,<
322,cat nose,bottle,7,95,<
323,bear,lip,138,21,>
324,rock,cat,188,517,<
325,crack,pizza,8,107,<
326,place mat,flower,131,30,>
327,table,cabbage,114,46,>
328,glass,number,575,129,>
329,tail end,zebra,17,491,<
330,cord,blender,19,291,<
331,toilet,weed,110,6,>
332,jacket,cord,281,80,>
333,patch,surfer,64,205,<
334,cloth,horse,72,417,<
335,branch,hole,103,20,>
336,vest,truck,112,425,<
337,stand,stripe,117,37,>
338,fruit,pepper,338,62,>
339,ball,elephant,76,892,<
340,bag,produce,37,113,<
341,design,pot,92,331,<
342,vase,lip,124,10,>
343,hill,tower,206,61,>
344,bowl,celery,124,29,>
345,traffic,bicycle,79,26,>
346,plate,paper,1186,490,>
347,crosswalk,shirt,471,76,>
348,coaster,couch,0,106,<
349,noodle,glass,90,29,>
350,light,decal,22,90,<
351,watch,sign,98,263,<
352,name,fence,42,107,<
353,arch,number,236,11,>
354,spectator,ball,435,185,>
355,suv,shoe,78,22,>
356,pattern,cup,63,169,<
357,pair,mouth,628,66,>
358,kid,brick,228,60,>
359,truck,brick,583,210,>
360,claw,parrot,8,145,<
361,beer,box,145,43,>
362,tree,chain,1692,481,>
363,rug,base,104,15,>
364,blanket,basket,238,30,>
365,pot,tree,171,617,<
366,computer,backpack,82,23,>
367,bird,t-shirt,28,103,<
368,number,portion,27,269,<
369,rock,goggle,124,10,>
370,paper,bottle,498,184,>
371,shelf,wheel,125,30,>
372,giraffe,hoof,1476,45,>
373,foot,umpire,8,148,<
374,decoration,tv,23,107,<
375,tree,letter,10959,722,>
376,helmet,center,20,82,<
377,blanket,elephant,241,814,<
378,tree,window,45486,4816,>
379,garbage,bus,12,203,<
380,label,bag,37,363,<
381,carpet,cat nose,122,1,>
382,cord,blanket,36,286,<
383,bed,logo,154,2,>
384,building,belt,188,16,>
385,step,pillow,80,27,>
386,switch,glass,35,238,<
387,fork,hotdog,35,161,<
388,cap,railing,16,170,<
389,bed,toilet,115,18,>
390,graffiti,skateboarding,40,150,<
391,scooter,glass,107,20,>
392,pants,hat,86,26,>
393,teddy,flower,180,32,>
394,bulb,shirt,39,236,<
395,tile,roof,93,227,<
396,train,luggage,545,113,>
397,tower,horse,61,166,<
398,refrigerator,orange,154,31,>
399,display,stove,13,99,<
400,pond,bush,101,40,>
401,tarp,building,64,202,<
402,board,leaf,593,211,>
403,wheel,sheep,7,178,<
404,book,board,193,556,<
405,woman,horse,51,264,<
406,spot,banana peel,17,193,<
407,dog,pipe,99,32,>
408,orange,jersey,26,75,<
409,bag,passenger,20,261,<
410,portion,bread,42,98,<
411,desk,printer,370,48,>
412,eye,sign,46,494,<
413,rock,bridge,141,413,<
414,coconut,donut,34,136,<
415,table,binder,132,24,>
416,pizza,girl,83,18,>
417,collar,shoe,36,214,<
418,tree,van,3223,1172,>
419,microwave,knob,1746,42,>
420,basket,door,96,530,<
421,button,jacket,99,1899,<
422,pants,snow,74,240,<
423,bedspread,flower,264,9,>
424,dog,lamp,916,190,>
425,pepper,bread,54,232,<
426,pizza,pot,293,62,>
427,knob,pizza,16,345,<
428,sign,guy,401,1517,<
429,bow,bench,19,96,<
430,bed,toddler,92,21,>
431,dog,brick,2063,544,>
432,train,snow,1370,549,>
433,child,snow,26,97,<
434,cake server,cake,49,214,<
435,letter,giraffe,16,201,<
436,dress,stair,19,85,<
437,tie,carpet,59,168,<
438,handle,trunk,5,171,<
439,trash,door,136,703,<
440,tile,column,40,130,<
441,backpack,cord,99,26,>
442,tie,skin,100,29,>
443,divider,sign,175,37,>
444,sock,camera,44,103,<
445,suit,crowd,56,149,<
446,stripe,gravel,82,239,<
447,pot,pole,51,127,<
448,beak,wood,4,133,<
449,bean sprout,plate,11,97,<
450,stand,horse,94,342,<
451,light,lampshade,84,32,>
452,pile,handle,368,50,>
453,sandal,tire,32,85,<
454,sandal,kid,23,200,<
455,horse,door,1042,178,>
456,herd,fence,309,73,>
457,sticker,animal,6,125,<
458,key,baby,0,188,<
459,wave,pair,645,78,>
460,handle,pizza cutter,5,107,<
461,trash,seat,41,106,<
462,whisker,dog,92,886,<
463,window,ski,53,467,<
464,cow,belly,389,53,>
465,glass,button,1427,562,>
466,beach,bottom,231,36,>
467,hydrant,cap,370,22,>
468,lettering,bus,120,1252,<
469,woman,tree,86,519,<
470,pumpkin,corn,81,34,>
471,bush,cap,321,62,>
472,ice,plate,28,156,<
473,monitor,button,1118,22,>
474,grape,lemon,40,99,<
475,kite,chimney,140,23,>
476,lettering,box,33,252,<
477,number,pair,159,1266,<
478,bench,graffiti,440,85,>
479,spoke,bicycle,23,249,<
480,sink,hose,86,26,>
481,scissors,label,122,12,>
482,sandwich,portion,208,11,>
483,ear,puppy,80,749,<
484,pier,post,116,20,>
485,duvet,pillow,128,27,>
486,vegetation,stripe,89,16,>
487,wave,clothe,88,32,>
488,cement,dog,78,184,<
489,bristle,brush,41,194,<
490,trim,leaf,199,62,>
491,hotdog,stripe,92,29,>
492,ear,sheep,249,9738,<
493,sugar,pastry,74,281,<
494,plane,fin,347,54,>
495,tongue,mouth,31,112,<
496,hat,t-shirt,335,1296,<
497,skirt,bike,33,198,<
498,surfer,cord,397,51,>
499,horse grazing,field,15,91,<
500,squash,bunch,24,122,<
501,printer,key,409,3,>
502,elephant,weed,838,200,>
503,train,gravel,6815,2242,>
504,bed,bottle,563,9,>
505,apple,basket,286,947,<
506,couch,t-shirt,229,93,>
507,handle,kite,46,398,<
508,shoe,bracelet,199,64,>
509,carrot,pan,75,294,<
510,pant,neck,103,23,>
511,beard,head,110,288,<
512,face,branch,45,153,<
513,bin,book,144,60,>
514,weed,head,186,69,>
515,zebra,whisker,229,28,>
516,bowl,control,103,22,>
517,bed,railing,116,21,>
518,wave,person,569,74,>
519,cup,watch,127,33,>
520,plate,saucer,881,284,>
521,couch,armrest,94,16,>
522,letter,plaque,6,152,<
523,orange,window,2070,874,>
524,strap,box,44,106,<
525,stove,handle,1150,74,>
526,spot,bed,13,252,<
527,fence,handle,319,21,>
528,knob,toaster oven,4,232,<
529,elephant,photograph,40,109,<
530,wheel,blanket,40,167,<
531,phone,blind,41,132,<
532,orange,guy,139,420,<
533,keyboard,coffee,87,27,>
534,control,keyboard,6,216,<
535,silver,window,89,19,>
536,sleeve,letter,235,25,>
537,cellphone,dress,58,167,<
538,park,car,368,99,>
539,sweater,bucket,97,11,>
540,logo,runway,13,127,<
541,television,dresser,33,134,<
542,phone,girl,161,33,>
543,cup,rim,168,26,>
544,letter,portion,50,264,<
545,arrow,balcony,15,89,<
546,couch,arm,310,95,>
547,box,vegetable,101,242,<
548,spot,portion,32,99,<
549,knob,window,54,1753,<
550,pile,donut,322,97,>
551,lamp,bedspread,35,814,<
552,mouth,sheep,4,1881,<
553,letter,toy,19,250,<
554,light,cat,551,2513,<
555,paper,office,1,123,<
556,pant,couch,165,633,<
557,bucket,skirt,20,87,<
558,bulb,toilet,3,187,<
559,key,cellphone,23,318,<
560,screw,pair,4,352,<
561,object,snow,156,427,<
562,keyboard,logo,645,15,>
563,bubble,bear,156,529,<
564,shirt,bill,107,12,>
565,horse,hand,1800,236,>
566,pizza,scarf,271,89,>
567,rhino,horn,117,8,>
568,forest,bear,561,190,>
569,field,van,103,16,>
570,kitten,rug,97,33,>
571,beach,pole,468,132,>
572,bag,batter,8,108,<
573,foliage,plant,149,47,>
574,shelf,plate,379,121,>
575,lampshade,blanket,9,179,<
576,frisbee,otter,3,131,<
577,wood,arm,260,94,>
578,baby,design,305,39,>
579,hat,ladder,21,171,<
580,flower,phone,220,530,<
581,glare,table,29,141,<
582,dog,zipper,348,18,>
583,cord,beach,36,137,<
584,cat,tongue,197,35,>
585,bottle,cooler,31,178,<
586,bagel,cup,134,18,>
587,desk,glass,608,129,>
588,apron,meat,153,35,>
589,helmet,dog,132,521,<
590,bunch,key,132,9,>
591,roof,arm,106,43,>
592,shoe,hose,23,111,<
593,camera,dress,123,341,<
594,barrel,hat,163,39,>
595,sofa,vase,454,21,>
596,wood,garbage,73,29,>
597,butter,plate,58,684,<
598,giraffe nose,fence,8,180,<
599,plate,train,61,159,<
600,boot,fence,90,594,<
601,rope,guy,49,118,<
602,curb,tree,489,1153,<
603,orange,collar,105,21,>
604,woman,glove,104,31,>
605,button,t-shirt,38,218,<
606,herd,tail,524,0,>
607,tv,control,631,91,>
608,horse,jockey,2091,856,>
609,fruit,tree,294,730,<
610,truck,wiper,116,16,>
611,arrow,bicycle,42,253,<
612,tip,hill,1,140,<
613,cushion,blind,27,146,<
614,arm,ramp,59,306,<
615,shade,dog,85,215,<
616,cooler,car,15,91,<
617,trash,letter,228,56,>
618,plate,window,411,1351,<
619,shirt,wagon,46,199,<
620,sun glass,umbrella,15,215,<
621,glass,switch,238,35,>
622,banana,nail,156,4,>
623,powder,donut,37,148,<
624,light,elephant,369,1367,<
625,hook,boat,0,103,<
626,pile,giraffe,341,879,<
627,paint,graffiti,124,392,<
628,pizza,car,259,98,>
629,backpack,trash,126,33,>
630,stove,clock,317,19,>
631,rail,pant,374,101,>
632,cup,hat,204,535,<
633,arrow,keyboard,1,252,<
634,glass,dessert,94,281,<
635,rock,pool,34,110,<
636,light,switch,398,36,>
637,monitor,paper,803,139,>
638,cellphone,screen,337,88,>
639,seed,dog,22,284,<
640,sweater,umbrella,238,1005,<
641,ribbon,door,40,117,<
642,butter,bowl,17,209,<
643,window,streetlight,128,630,<
644,photograph,bag,107,29,>
645,apple,utensil,19,110,<
646,bag,bridge,14,105,<
647,pot,carrot,572,145,>
648,table,finger,593,71,>
649,bar,train,91,429,<
650,cord,couch,12,383,<
651,holder,dog,38,181,<
652,dog,apple,504,139,>
653,bedspread,towel,96,5,>
654,dot,building,11,120,<
655,slice,skin,95,13,>
656,advertisement,hat,363,73,>
657,exhaust,bike,18,152,<
658,dress,sign,824,264,>
659,cake,crumb,836,85,>
660,controller,jean,78,244,<
661,fencing,hat,152,16,>
662,sweater,glass,2248,440,>
663,logo,jean,28,510,<
664,neck,horse,10,200,<
665,clock,ball,267,114,>
666,roll,cat,32,163,<
667,cake,sugar,262,69,>
668,building,mouth,239,19,>
669,toilet,bolt,293,0,>
670,couch,wheel,105,6,>
671,cow,dress,256,48,>
672,crowd,ball,288,42,>
673,office,window,113,6,>
674,clock,shop,33,90,<
675,outfit,elephant,94,415,<
676,tv,cord,881,65,>
677,star,boat,0,121,<
678,guy,tooth,111,17,>
679,tree,fire,72,29,>
680,shot,building,116,15,>
681,pail,cow,7,220,<
682,table,eye,1265,89,>
683,helmet,dirt,333,1694,<
684,glass,bike,179,745,<
685,number,vase,33,687,<
686,crosswalk,awning,163,13,>
687,fridge,stack,132,18,>
688,bed,cord,684,25,>
689,pole,crane,55,196,<
690,toy,jacket,53,126,<
691,door,kettle,158,9,>
692,stair,handle,91,15,>
693,surface,fruit,23,123,<
694,plate,rib,93,22,>
695,jersey,soccer,9,356,<
696,mountain,letter,831,29,>
697,umbrella,cup,734,150,>
698,sweater,pan,137,15,>
699,sauce,shirt,73,466,<
700,hoodie,wheel,297,27,>
701,cabbage,bunch,26,92,<
702,orange,bench,178,502,<
703,mirror,chrome,96,33,>
704,bush,kid,46,130,<
705,toddler,arm,84,29,>
706,finger,dress,19,216,<
707,towel,drain,368,15,>
708,cap,truck,109,594,<
709,letter,strap,56,262,<
710,light,sheet,123,565,<
711,wheel,tent,58,224,<
712,costume,dress,98,15,>
713,couple,glove,103,12,>
714,kid,flag,241,91,>
715,car,hat,2258,734,>
716,pedal,petal,92,34,>
717,sign,rider,44,206,<
718,tree,heap,119,13,>
719,pizza,leaf,1960,126,>
720,building,handle,504,43,>
721,uniform,hand,510,46,>
722,orange,crosswalk,17,85,<
723,toy,paw,133,10,>
724,necklace,bracelet,276,68,>
725,tire,gate,11,95,<
726,wood,boot,98,18,>
727,wheel,shelf,30,125,<
728,window,doorknob,177,12,>
729,ostrich,head,128,13,>
730,trough,ear,133,5,>
731,glass,cow,62,228,<
732,car,logo,1128,138,>
733,flower,lip,113,17,>
734,fur,bench,9,155,<
735,tan,hand,281,88,>
736,sign,pizza,188,622,<
737,banana,bucket,240,69,>
738,jean,leg,514,206,>
739,buckle,tie,0,113,<
740,jacket,keyboard,233,25,>
741,strap,guy,10,233,<
742,window,drain,189,36,>
743,cup,pen,214,77,>
744,frame,bench,109,257,<
745,backpack,letter,495,51,>
746,couch,ornament,170,9,>
747,lettering,bolt,133,11,>
748,bed,tree,428,154,>
749,lid,plate,70,456,<
750,dresser,bottle,104,10,>
751,family,zebra,147,39,>
752,room,book,142,7,>
753,car,plate,728,228,>
754,soap,door,6,97,<
755,helmet,kite,50,221,<
756,wool,field,9,93,<
757,lamp,ear,164,15,>
758,day,post,141,4,>
759,ear,apron,3,194,<
760,carpet,ball,96,17,>
761,glove,mouth,118,28,>
762,vegetable,light,128,48,>
763,bike,spot,171,35,>
764,camera,bracelet,239,24,>
765,roof,leaf,1102,344,>
766,plate,leaf,2397,387,>
767,target,plane,3,119,<
768,bed,ceiling,438,105,>
769,tire,smoke,14,97,<
770,knife,copper,108,7,>
771,baby,horse,84,267,<
772,vehicle,window,4947,721,>
773,alleyway,sign,99,18,>
774,jacket,key,249,6,>
775,bus,cone,427,33,>
776,computer,office,18,128,<
777,whisker,bear,7,127,<
778,tooth,collar,25,103,<
779,hat,beach,131,1317,<
780,light,costume,18,106,<
781,boot,bike,44,559,<
782,pole,frisbee,230,581,<
783,tissue,dog,24,119,<
784,shirt,handkerchief,165,5,>
785,crayon,grape,182,54,>
786,stop light,building,119,643,<
787,yard,dog,205,80,>
788,track,backpack,306,76,>
789,plane,tail end,182,8,>
790,cable,television,7,184,<
791,stripe,hole,116,35,>
792,hotdog,bracelet,117,2,>
793,handle,toaster,24,139,<
794,tan,eye,533,21,>
795,hump,elephant,5,251,<
796,trash,truck,69,305,<
797,vest,leaf,254,105,>
798,crust,sandwich,22,280,<
799,apple,dot,165,30,>
800,handle,bed,3,579,<
801,mug,liquid,94,20,>
802,plate,smile,96,36,>
803,eye,boot,3,104,<
804,shoulder,suit,15,152,<
805,lawn,sign,198,67,>
806,racket,hat,997,187,>
807,leaf,ceiling,16,95,<
808,tire,ambulance,6,104,<
809,name,door,57,135,<
810,couch,cabinet,336,111,>
811,cone,jacket,81,281,<
812,sticker,cover,11,96,<
813,plate,couch,48,428,<
814,eye,neck,42,675,<
815,spatula,handle,116,16,>
816,baby,pacifier,340,22,>
817,bedspread,phone,106,0,>
818,spot,building,92,1030,<
819,eye,tooth,148,445,<
820,shirt,bracelet,3706,162,>
821,cup,crumb,140,16,>
822,shirt,pepper,220,23,>
823,portion,meal,3,110,<
824,bottom,wheel,775,250,>
825,house,ramp,44,153,<
826,cabinet,design,187,54,>
827,light,ramp,41,297,<
828,hand,lettuce,133,37,>
829,camera,mouth,309,17,>
830,elephant,riverbank,84,21,>
831,figurine,couch,6,111,<
832,steak,glass,104,17,>
833,bottle,button,540,146,>
834,window,tractor,8,200,<
835,leaf,donut,23,116,<
836,sedan,light,196,30,>
837,runway,light,225,22,>
838,apron,leaf,150,6,>
839,bed,container,145,20,>
840,snow,sign,4915,1759,>
841,giraffe,mirror,109,12,>
842,camera,sink,53,186,<
843,tarp,letter,271,6,>
844,scarf,seat,28,85,<
845,bed,pillow,18999,1603,>
846,ring,frisbee,31,153,<
847,letter,bear,100,1215,<
848,scissors,bolt,186,10,>
849,spot,bus,26,163,<
850,pillar,building,245,1223,<
851,bar,banana,153,54,>
852,raft,mountain,25,133,<
853,tarmac,building,136,57,>
854,cheese,rack,26,112,<
855,something,letter,95,17,>
856,flower,bull,11,155,<
857,leaf,couple,110,376,<
858,leaf,duck,172,625,<
859,pillow,ribbon,113,17,>
860,horn,mane,28,268,<
861,counter,cord,122,24,>
862,elephant,roof,872,253,>
863,stone,hand,265,99,>
864,outfit,window,320,92,>
865,car,sneaker,328,107,>
866,ribbon,elephant,22,118,<
867,baby,tail,157,12,>
868,shirt,mushroom,102,15,>
869,stem,table,151,613,<
870,house,t-shirt,147,60,>
871,trainer,elephant,48,202,<
872,office,computer,128,18,>
873,boat,base,186,66,>
874,blade,knife,77,388,<
875,button,lamp,33,406,<
876,vest,hill,14,111,<
877,batter,cap,399,35,>
878,hat,fencing,16,152,<
879,jar,handle,219,74,>
880,event,kite,106,39,>
881,bush,home,30,113,<
882,slice,pizza,394,1933,<
883,umbrella,block,284,75,>
884,stain,tree,14,135,<
885,blind,candle,173,17,>
886,donut,pile,97,322,<
887,mirror,design,357,112,>
888,onion,shirt,60,221,<
889,tip,spot,52,136,<
890,book,fence,23,79,<
891,frisbee,paw,130,9,>
892,necklace,skirt,12,166,<
893,refrigerator,vent,177,8,>
894,steeple,bird,102,32,>
895,window,cabin,13,231,<
896,pizza,meal,86,286,<
897,sock,wood,11,151,<
898,curtain,decoration,151,38,>
899,bunch,tail,156,11,>
900,mountain,suv,112,19,>
901,cat,bottle,2790,479,>
902,shrub,stripe,127,37,>
903,glass,dish,411,1044,<
904,track,forest,37,119,<
905,glass,lunch,15,171,<
906,stack,guy,55,194,<
907,snack,banana,119,23,>
908,toilet,chrome,172,10,>
909,dress,kite,158,549,<
910,pile,lemon,170,14,>
911,cable,guy,19,96,<
912,kite,spot,183,32,>
913,shirt,net,685,2230,<
914,tower,hand,718,40,>
915,helmet,day,18,364,<
916,cake,cap,219,39,>
917,logo,van,40,249,<
918,tennis,marking,105,12,>
919,hat,cow,230,1413,<
920,toilet,hole,1292,38,>
921,pipe,bicycle,30,86,<
922,t-shirt,house,60,147,<
923,shirt,beanie,215,66,>
924,broccoli,plate,2327,5746,<
925,jet,symbol,180,11,>
926,microwave oven,stove,34,207,<
927,coat,rider,31,100,<
928,strap,carpet,23,112,<
929,elephant,day,67,331,<
930,figure,cake,20,116,<
931,window,barn,24,449,<
932,hole,chocolate,13,100,<
933,deer,leg,116,26,>
934,tree,crate,172,58,>
935,plate,surface,660,205,>
936,strap,bench,20,353,<
937,letter,arrow,527,1241,<
938,vehicle,head,194,33,>
939,pant,eye glass,212,20,>
940,scissors,roll,130,21,>
941,refrigerator,lid,132,0,>
942,microwave,button,1507,46,>
943,statue,church,13,162,<
944,train,trim,352,87,>
945,fence,cow nose,126,10,>
946,shirt,family,32,813,<
947,shrub,giraffe,332,1061,<
948,ball,beach,33,294,<
