,o1,o2,>,<,typical
303,air conditioner,sign,40,365,<
304,bed,rock,85,17,>
305,face,bracelet,111,15,>
306,head,something,39,109,<
307,hand,railing,44,282,<
308,purse,handle,223,29,>
309,building,chain,601,136,>
310,tea pot,stove,16,156,<
311,coat,giraffe,86,215,<
312,ramp,board,217,47,>
313,luggage,box,254,67,>
314,outfit,plate,89,28,>
315,paw,cat,377,4549,<
316,catcher,leg,415,84,>
317,plant,feather,218,36,>
318,logo,roof,17,157,<
319,surfer,design,542,30,>
320,elephant,trainer,202,48,>
321,rabbit,ear,117,8,>
322,roof,beach,27,117,<
323,planter,door,47,144,<
324,helmet,teammate,3,137,<
325,guy,foot,606,90,>
326,boat,cord,135,32,>
327,banner,truck,47,284,<
328,train,tower,889,153,>
329,car,bat,79,209,<
330,cap,bolt,88,19,>
331,bowl,rim,298,78,>
332,fence,lettering,263,37,>
333,foot,logo,196,49,>
334,sheep,cap,329,92,>
335,orange,statue,50,154,<
336,cake,fork,2673,1071,>
337,button,fabric,11,135,<
338,box,rack,40,126,<
339,crumb,crust,19,108,<
340,crown,clock,16,125,<
341,fence,arm,719,205,>
342,bird,bud,375,28,>
343,taillight,window,43,130,<
344,towel,doorknob,113,9,>
345,flower,menu,39,116,<
346,tap,light,29,71,<
347,stripe,outlet,190,4,>
348,horse,design,172,39,>
349,umbrella,drum,79,33,>
350,figure,number,107,33,>
351,animal,bag,284,112,>
352,dog,reflector,114,4,>
353,label,bag,37,363,<
354,bed,sofa,169,47,>
355,reflector,car,11,239,<
356,beard,blanket,16,105,<
357,stone,pizza,69,163,<
358,star,kite,18,186,<
359,snow,name,125,40,>
360,surf board,rope,161,58,>
361,cat,tooth,321,13,>
362,hat,ice,29,166,<
363,number,cabinet,2,139,<
364,handle,knife,203,1265,<
365,bedspread,sheet,131,40,>
366,bench,panel,115,34,>
367,rug,patch,116,1,>
368,building,marker,112,23,>
369,desk,letter,171,36,>
370,ball,rope,26,118,<
371,balcony,truck,60,212,<
372,tip,vegetable,6,114,<
373,bag,dress,240,1009,<
374,orange,utensil,91,32,>
375,day time,jacket,136,1,>
376,stripe,sleeve,52,175,<
377,comforter,bag,132,24,>
378,park,bench,804,338,>
379,bag,stand,72,190,<
380,building,plant,1577,605,>
381,gazelle,giraffe,94,565,<
382,cat,stomach,275,72,>
383,kite,pocket,97,20,>
384,curb,trash,74,26,>
385,ear,glass,123,1223,<
386,cow nose,animal,17,186,<
387,house,t-shirt,147,60,>
388,strap,fence,32,158,<
389,toilet,vanity,59,139,<
390,pencil,keyboard,13,147,<
391,piano,candle,107,0,>
392,propeller,sign,80,28,>
393,sweater,glass,2248,440,>
394,rug,dog nose,123,3,>
395,bat,window,191,19,>
396,stripe,crosswalk,30,115,<
397,snow,sign,4915,1759,>
398,snowsuit,pant,111,20,>
399,variety,carrot,166,2,>
400,elephant,bottom,804,92,>
401,rug,bedspread,19,81,<
402,grill,truck,57,601,<
403,phone,head board,0,104,<
404,surface,stone,93,35,>
405,handle,range,5,125,<
406,bird,beach,519,1309,<
407,shoe,hose,23,111,<
408,shoe,pack,69,218,<
409,tent,boot,99,7,>
410,kite,hand,1487,351,>
411,orange,dish,100,279,<
412,surface,fruit,23,123,<
413,snow,clock,419,179,>
414,fencing,pole,214,42,>
415,bit,table,53,183,<
416,mountain,ripple,395,124,>
417,stone,cat,123,332,<
418,house,shrub,234,97,>
419,cone,tree,175,1810,<
420,flower,cake,447,3447,<
421,tub,drain,114,0,>
422,horse,forelock,134,1,>
423,surf board,person,151,15,>
424,glove,hole,73,30,>
425,animal,hole,93,34,>
426,bed,night stand,990,44,>
427,mirror,paper,250,43,>
428,jacket,bow,81,27,>
429,switch,handle,28,89,<
430,pile,produce,34,92,<
431,fence,seat,236,74,>
432,calculator,button,193,2,>
433,bench,photograph,10,165,<
434,tie,mannequin,38,151,<
435,ear,jacket,73,1563,<
436,finger,nail,210,7,>
437,television,control,473,54,>
438,monitor,mug,342,36,>
439,leaf,shade,49,202,<
440,buckle,horse,0,239,<
441,door,sock,153,33,>
442,bowl,butter,209,17,>
443,cat,rope,158,57,>
444,star,pole,61,155,<
445,frame,letter,468,50,>
446,clock,book shelf,9,97,<
447,coke,table,8,108,<
448,design,cat,370,1383,<
449,flower,bride,50,952,<
450,crust,pan,31,93,<
451,hand,elephant,97,1284,<
452,bus,gate,195,63,>
453,soap,door,6,97,<
454,chicken,hen,164,62,>
455,pole,hand,967,341,>
456,bang,eye,96,8,>
457,kiwi,bowl,7,93,<
458,door,switch,1371,13,>
459,toddler,plate,156,14,>
460,coat,lamp,137,57,>
461,bottle,vegetable,55,179,<
462,fabric,couch,17,123,<
463,orange,umpire,8,150,<
464,tree,candle,169,21,>
465,sheep,duck,351,54,>
466,dress,sign,824,264,>
467,bottom,railing,44,123,<
468,sail,flag,123,52,>
469,assortment,plate,74,27,>
470,figurine,couch,6,111,<
471,blanket,elephant,241,814,<
472,bicycle,planter,121,19,>
473,catcher,bleacher,77,188,<
474,bird,peck,287,5,>
475,bag,shoe,2256,602,>
476,couch,frame,373,58,>
477,letter,fruit,25,337,<
478,pair,clothe,72,311,<
479,vine,window,280,79,>
480,eye,sign,46,494,<
481,curtain,beard,106,28,>
482,flag,series,4,125,<
483,giraffe,base,339,46,>
484,onion,veggie,45,138,<
485,tire,vehicle,283,2035,<
486,light,vanity,3,101,<
487,refrigerator,pan,188,4,>
488,body,stone,88,12,>
489,leaf,wood,397,1647,<
490,mug,lamp,11,95,<
491,label,apple,68,237,<
492,barrier,pant,134,42,>
493,face,racket,16,141,<
494,toilet,trash can,245,28,>
495,bench,cooler,125,11,>
496,bench,leaf,7274,1573,>
497,ramp,foot,130,49,>
498,store,hat,172,19,>
499,microphone,screen,21,137,<
500,pillowcase,bed,35,231,<
501,pigeon,beak,201,2,>
502,letter,liquid,21,115,<
503,key,monitor,35,2194,<
504,bird,corn,122,29,>
505,logo,carpet,18,140,<
506,bench,label,172,16,>
507,bike,pedestrian,155,36,>
508,sock,bottom,53,132,<
509,crowd,number,408,32,>
510,hotdog,tip,141,0,>
511,surf board,leg,306,40,>
512,candle,cabinet,38,227,<
513,bicycle,rock,244,55,>
514,logo,tarp,4,111,<
515,glass,hill,30,137,<
516,branch,forest,47,239,<
517,ear,vehicle,18,176,<
518,vent,refrigerator,8,177,<
519,window,shed,21,122,<
520,portion,surf board,72,30,>
521,cow,number tag,141,0,>
522,patch,zebra,385,1603,<
523,button,uniform,2,191,<
524,door,sneaker,130,26,>
525,pair,bead,115,13,>
526,comforter,blind,139,27,>
527,foam,bear,19,94,<
528,face,branch,45,153,<
529,hand,coat,283,1224,<
530,suit,plate,209,32,>
531,candle,dress,47,257,<
532,pizza,shrimp,191,6,>
533,duvet,pillow,128,27,>
534,bridge,glass,84,36,>
535,stair,helmet,97,13,>
536,tree,stake,112,9,>
537,bear,stripe,380,104,>
538,wheel,van,148,888,<
539,mushroom,pizza,293,3220,<
540,head,duck,35,241,<
541,number,jean,48,388,<
542,light,stove,143,625,<
543,cheese,chicken,63,155,<
544,rug,eye,180,21,>
545,field,rope,108,25,>
546,rail,shoe,355,38,>
547,pant,surf board,40,194,<
548,keyboard,outlet,120,2,>
549,strap,curtain,15,135,<
550,logo,bicycle,24,181,<
551,mustard,bottle,31,78,<
552,jean,sofa,70,234,<
553,foot,seagull,17,86,<
554,cup,crumb,140,16,>
555,bed,number,177,5,>
556,ivy,sign,100,21,>
557,hat,toy,99,237,<
558,machine,screen,110,30,>
559,semi,truck,128,51,>
560,surf board,string,91,16,>
561,window,tarmac,55,341,<
562,bike,orange,481,150,>
563,tooth,bottle,153,41,>
564,pair,building,492,1863,<
565,bunch,tip,121,1,>
566,wire,gravel,337,118,>
567,field,hand,830,63,>
568,dial,window,26,148,<
569,sock,advertisement,29,111,<
570,towel,curtain,154,1083,<
571,spoon,tree,19,100,<
572,symbol,shoe,19,90,<
573,table,outlet,558,8,>
574,sauce,tortilla,18,95,<
575,veggie,onion,138,45,>
576,key,note,30,101,<
577,hill,orange,202,59,>
578,kid,candle,131,26,>
579,spoon,berry,106,17,>
580,jet,symbol,180,11,>
581,cow,ceiling,127,18,>
582,train,boot,142,6,>
583,tattoo,bench,8,112,<
584,tree,reflector,280,4,>
585,field,t-shirt,365,40,>
586,button,television remote,0,119,<
587,house,flag,618,85,>
588,tower,weather vane,93,13,>
589,window,station,55,188,<
590,elephant,day,67,331,<
591,thumb,pant,12,96,<
592,logo,wave,22,1073,<
593,stone,opening,37,108,<
594,couple,bus,91,290,<
595,signpost,letter,255,28,>
596,letter,center,65,173,<
597,umbrella,cushion,104,37,>
598,receipt,pizza,1,106,<
599,light,tank,27,134,<
600,cone,kite,52,188,<
601,skirt,tree,208,679,<
602,wood,tomato,231,31,>
603,chocolate,dessert,31,181,<
604,fork,place mat,50,313,<
605,store,window,935,158,>
606,sheep grazing,tree,80,301,<
607,fork,light,392,129,>
608,cat,tube,128,15,>
609,vehicle,runway,13,125,<
610,train,board,554,66,>
611,guy,container,135,17,>
612,wing,tarmac,28,84,<
613,star,wheel,40,156,<
614,office,monitor,156,7,>
615,book,blind,96,550,<
616,control,blind,19,139,<
617,number,advertisement,30,303,<
618,button,cord,135,899,<
619,rose,table cloth,28,95,<
620,pole,fur,103,41,>
621,rope,surf board,58,161,<
622,foot,toy,37,184,<
623,mud,elephant,261,912,<
624,plate,logo,557,59,>
625,stack,rug,16,277,<
626,sofa,bottle,179,5,>
627,lid,rug,25,91,<
628,board,telephone,185,18,>
629,shoe,t-shirt,244,1574,<
630,camera,sink,53,186,<
631,pant,strap,504,137,>
632,salad,bottle,104,25,>
633,lamppost,train,17,100,<
634,cow,poster,98,22,>
635,story,light,138,20,>
636,board,name,106,9,>
637,bench,poster,252,97,>
638,sandal,kid,23,200,<
639,vase,artifact,46,125,<
640,bump,giraffe,13,182,<
641,handle,glass,221,924,<
642,kitchen,t-shirt,100,14,>
643,sign,engine,43,290,<
644,swan,leaf,187,28,>
645,bolt,bench,19,588,<
646,baby,bottle,431,15,>
647,plant,dresser,18,86,<
648,bed,stack,350,40,>
649,pillow,eyebrow,110,2,>
650,shirt,winnie,32,99,<
651,teddy bear nose,teddy,3,266,<
652,boot,wood,18,98,<
653,orange,bed,57,284,<
654,frisbee,cone,792,76,>
655,bicycle,arm,173,45,>
656,tree,entrance,387,125,>
657,knife,salad,51,318,<
658,ear,crowd,9,153,<
659,bowl,pillow,87,411,<
660,keyboard,bottle,503,96,>
661,tree,bag,3669,773,>
662,horse,wheel,3465,318,>
663,monitor,ear,112,4,>
664,spot,board,20,292,<
665,engine,tail,104,335,<
666,eye,rug,21,180,<
667,train,gold,123,27,>
668,tie,carpet,59,168,<
669,snow boarder,glove,222,13,>
670,fork,logo,123,26,>
671,number,cleat,33,88,<
672,forest,pant,317,13,>
673,foot,racket,65,154,<
674,hydrant,cap,370,22,>
675,light,policeman,12,189,<
676,box,umbrella,247,706,<
677,bus,trash can,230,18,>
678,umbrella,decoration,224,87,>
679,vase,desk,19,152,<
680,rack,curtain,18,99,<
681,day,glove,198,5,>
682,day,pair,361,8,>
683,giraffe,leg,4644,579,>
684,bottle,sofa,5,179,<
685,doorknob,tile,3,109,<
686,knob,light,122,561,<
687,bulb,table,32,319,<
688,house,forest,22,208,<
689,key,tree,5,150,<
690,microwave oven,outlet,129,1,>
691,tomato,meal,4,261,<
692,face,skirt,17,86,<
693,wii remote,guy,25,86,<
694,cow,garbage,86,15,>
695,jacket,neon,138,40,>
696,hat,racquet,46,108,<
697,cat,shot,5,102,<
698,lighting,train,16,164,<
699,napkin,button,120,42,>
700,tie,gown,16,108,<
701,head,doll,26,75,<
702,skate board,window,230,28,>
703,dog,bus,90,399,<
704,car,sandwich,20,125,<
705,tennis,dress,364,36,>
706,table,towel,670,238,>
707,rock,feather,441,130,>
708,uniform,seat,97,21,>
709,t-shirt,bird,103,28,>
710,tarp,building,64,202,<
711,pitcher,ear,111,0,>
712,tree,step,1484,415,>
713,shirt,marker,203,25,>
714,ear,comforter,2,136,<
715,crack,curb,34,129,<
716,hand,gate,21,129,<
717,switch,carpet,0,175,<
718,tower,glass,92,23,>
719,guy,flower,404,69,>
720,stand,logo,181,32,>
721,train,dirt,637,203,>
722,thumb,pizza,83,226,<
723,bed,fur,117,6,>
724,bicycle,book,173,46,>
725,speaker,tree,20,118,<
726,light,cement,53,190,<
727,bag,bush,133,328,<
728,knob,table,19,605,<
729,dot,bed,3,320,<
730,phone,glove,126,46,>
731,foot,skirt,54,142,<
732,shirt,bow tie,574,107,>
733,butterfly,kite,32,118,<
734,hand,guitar,4,152,<
735,person,pair,186,461,<
736,t-shirt,hat,1296,335,>
737,knob,pipe,19,138,<
738,sticker,monitor,6,129,<
739,bucket,truck,17,184,<
740,glass,bow,122,44,>
741,flag,weather,3,117,<
742,letter,ceiling,11,210,<
743,mustard,sandwich,11,322,<
744,bicycle,seat,1086,46,>
745,pencil,desk,14,127,<
746,balcony,seat,108,20,>
747,stack,toilet,16,183,<
748,pair,apron,20,161,<
749,design,tennis,0,154,<
750,marker,board,5,117,<
751,bread,spinach,82,23,>
752,comforter,bear,107,41,>
753,crowd,suit,149,56,>
754,bike,clothe,101,37,>
755,curtain,mat,121,50,>
756,skier,hill,518,1736,<
757,t-shirt,stripe,276,68,>
758,fence,trash,335,28,>
759,bedspread,phone,106,0,>
760,sweater,purse,311,92,>
761,tv,sofa,165,951,<
762,pillar,fence,48,157,<
763,trash,guy,13,189,<
764,night stand,comforter,13,179,<
765,door,logo,552,130,>
766,lamppost,sign,210,88,>
767,fence,hoof,304,12,>
768,number,sleeve,35,104,<
769,blender,pot,142,27,>
770,paper,pizza,338,1167,<
771,bolt,fence,11,147,<
772,bus,curb,695,175,>
773,glass,finger,477,148,>
774,wood,toy,143,43,>
775,dresser,flower,105,28,>
776,clock,cat,142,503,<
777,pillow,wheel,137,19,>
778,dress,belt,487,18,>
779,tie,jacket,558,2497,<
780,plastic,stripe,99,22,>
781,corn,table,44,191,<
782,display,flower,160,27,>
783,sneaker,cat,60,263,<
784,cow nose,horn,17,93,<
785,stove,stack,99,22,>
786,patch,board,61,195,<
787,wheel,store,16,91,<
788,bush,moss,108,35,>
789,vase,drape,11,112,<
790,animal,button,344,19,>
791,canopy,bag,125,39,>
792,bit,bowl,16,194,<
793,duck,zebra,24,226,<
794,couch,bottle,424,8,>
795,train,name,563,47,>
796,spectacle,glass,59,199,<
797,spot,beach,16,147,<
798,hat,star,151,48,>
799,tail,animal,104,2076,<
800,suit,bow tie,351,18,>
801,forest,track,119,37,>
802,taxi,building,159,506,<
803,person,bench,43,438,<
804,finger,door,26,100,<
805,tree,garbage,546,70,>
806,onion,bun,87,314,<
807,wave,fin,319,3,>
808,shelf,plate,379,121,>
809,suv,shoe,78,22,>
810,tennis,string,192,6,>
811,car,rubber,114,14,>
812,boat,crate,104,11,>
813,scooter,glass,107,20,>
814,pad,jean,24,125,<
815,whisker,blanket,36,313,<
816,cabinet,mug,200,3,>
817,mouse,device,27,76,<
818,roll,cat,32,163,<
819,light,bumper,28,253,<
820,flower,beak,130,5,>
821,patch,donut,7,93,<
822,blueberry,plate,24,430,<
823,decoration,dog,52,212,<
824,wheel,field,25,293,<
825,bowl,stripe,319,104,>
826,umbrella,walkway,198,473,<
827,indicator,tree,20,147,<
828,display,pair,102,43,>
829,table,salt,561,74,>
830,swing,ball,118,8,>
831,window,outlet,1082,41,>
832,plate,leaf,2397,387,>
833,dog,lunch,5,136,<
834,letter,portion,50,264,<
835,faucet,tooth,9,99,<
836,bottle,desk,34,370,<
837,stove,knob,1812,79,>
838,boat,boot,79,23,>
839,frisbee,court,24,180,<
840,bed,pillow,18999,1603,>
841,plate,tv,64,227,<
842,eye,sandwich,24,278,<
843,book,mirror,185,666,<
844,ski,bag,235,50,>
845,keyboard,apple,164,35,>
846,stove,lamp,95,23,>
847,bench,beak,113,0,>
848,net,boat,96,245,<
849,shoe,heel,334,142,>
850,hand,tshirt,55,244,<
851,keyboard,light,969,208,>
852,t-shirt,house,60,147,<
853,ring,toilet,7,159,<
854,glare,table,29,141,<
855,door,glass,2062,701,>
856,bus,seat,718,192,>
857,chairlift,snow,27,73,<
858,quilt,baby,27,74,<
859,plant,table,940,2368,<
860,bolt,wood,5,161,<
861,phone,eyebrow,271,4,>
862,elephant,herd,267,3249,<
863,sign,wrist band,113,13,>
864,book,eye,655,82,>
865,tennis,sneaker,1304,22,>
866,leg,park,15,109,<
867,table,barrel,101,23,>
868,woman,bike,24,138,<
869,boat,antenna,310,16,>
870,umbrella,vase,251,58,>
871,cap,jar,35,117,<
872,curtain,drawer,567,69,>
873,stem,fruit,75,1171,<
874,spot,wood,66,646,<
875,logo,stripe,137,517,<
876,tarmac,building,136,57,>
877,truck,eye,128,6,>
878,dog,field,419,1604,<
879,jacket,truck,340,879,<
880,wheel,guy,77,1312,<
881,portrait,sheep,5,107,<
882,plaque,tree,27,268,<
883,hand,statue,103,609,<
884,pizza,cellphone,149,0,>
885,drain,tile,58,628,<
886,leg,foliage,16,88,<
887,batter,cap,399,35,>
888,pant,letter,2030,186,>
889,letter,runway,7,233,<
890,marble,tile,165,39,>
891,cup,phone,250,592,<
892,outlet,toilet,12,676,<
893,wheel,eye,145,22,>
894,beard,eye,813,58,>
895,mushroom,knife,49,147,<
896,dirt,sock,444,109,>
897,candle,sofa,14,305,<
898,phone,train,31,201,<
899,suv,frisbee,25,82,<
900,costume,wave,11,236,<
901,eye,vest,16,341,<
902,dog,wrist,137,4,>
903,bead,pair,13,115,<
904,camera,bracelet,239,24,>
905,paper,burger,26,86,<
906,tree,stair,1116,343,>
907,tape,horse,10,204,<
908,zebra,mouth,4204,182,>
909,butterfly,plant,18,91,<
910,umbrella,letter,2186,176,>
911,table,eye,1265,89,>
912,binder,shirt,20,120,<
913,stapler,wheel,124,9,>
914,strawberry,cup,54,157,<
915,ladder,truck,84,395,<
916,light,dish,97,289,<
917,plane,propeller,4735,671,>
918,bag,sheep,39,191,<
919,balcony,shirt,504,184,>
920,stem,meat,6,115,<
921,bag,hole,186,36,>
922,suite,ripple,128,7,>
923,blanket,leaf,252,68,>
924,cement,rock,93,39,>
925,mouth,ski,6,133,<
926,cake,sugar,262,69,>
927,wheel,outfit,17,95,<
928,bunch,leaf,1248,414,>
929,scarf,guy,35,190,<
930,ear,wool,22,333,<
931,trough,ear,133,5,>
932,nostril,mane,1,135,<
933,couch,eye,454,10,>
934,button,sandwich,20,160,<
935,apple,dot,165,30,>
936,keyboard,plug,136,22,>
937,sticker,scooter,5,95,<
938,seat,hole,108,10,>
939,portion,apple,24,86,<
940,shoe,crosswalk,3,120,<
941,blind,poster,95,19,>
942,family,pant,148,5,>
943,board,pool,45,107,<
944,window,turret,29,76,<
945,shelf,stove,56,192,<
946,pattern,cup,63,169,<
947,backpack,trash,126,33,>
