,o1,o2,>,<,typical
80,bed spread,curtain,134,50,>
81,table,pole,614,207,>
82,salad,liquid,85,15,>
83,handle,tire,53,282,<
84,button,dress,41,436,<
85,rail,jean,164,49,>
86,canopy,bag,125,39,>
87,tail,forest,9,220,<
88,tub,drain,114,0,>
89,pillar,fence,48,157,<
90,orange,dot,195,21,>
91,mirror,soap,745,21,>
92,key,pile,7,136,<
93,broccoli,ham,33,77,<
94,guy,backpack,683,196,>
95,leaf,bird,3041,8751,<
96,leaf,siding,30,73,<
97,button,fabric,11,135,<
98,marking,horse,63,587,<
99,wheel,stroller,6,234,<
100,bird,frisbee,30,97,<
101,engine,window,1136,193,>
102,beverage,sandwich,21,199,<
103,fence,arm,719,205,>
104,sticker,sink,6,217,<
105,bike,pipe,260,65,>
106,sticker,helmet,40,153,<
107,lamp,key,505,23,>
108,giraffe,shirt,2810,728,>
109,counter,handle,573,83,>
110,ribbon,door,40,117,<
111,baby,trunk,90,11,>
112,bicycle,object,75,31,>
113,window,pick,27,250,<
114,cake,fork,2673,1071,>
115,propeller,sign,80,28,>
116,plaque,shirt,48,124,<
117,tree,nostril,316,0,>
118,sedan,building,61,336,<
119,zebra,face,2113,313,>
120,animal,button,344,19,>
121,building,pedestrian,528,135,>
122,hat,star,151,48,>
123,noodle,chicken,46,210,<
124,meal,broccoli,764,54,>
125,phone,suit,101,334,<
126,bracelet,pillow,8,183,<
127,mouth,hat,81,778,<
128,fork,place mat,50,313,<
129,scissors,keyboard,3,102,<
130,beer,box,145,43,>
131,herd,horn,232,2,>
132,grate,building,37,158,<
133,sign,cabin,27,85,<
134,rug,base,104,15,>
135,kitchen,jacket,83,20,>
136,vase,guy,7,95,<
137,spoon,toast,16,125,<
138,skin,apple,134,321,<
139,flower,pedal,456,33,>
140,sink,bottle,1756,74,>
141,jean,bucket,207,35,>
142,hook,toilet,12,163,<
143,dog nose,tan,17,117,<
144,toy,arm,223,84,>
145,train,baby,94,24,>
146,cycle,shirt,107,33,>
147,seed,plate,79,577,<
148,bench,stack,134,29,>
149,shoulder,suit,15,152,<
150,orange,necklace,82,32,>
151,plant,shutter,47,116,<
152,donut,dog,38,197,<
153,spot,plant,77,774,<
154,bowl,label,207,39,>
155,cake,logo,243,18,>
156,dog,bread,692,252,>
157,paint,vase,84,252,<
158,candle,plate,462,1854,<
159,phone,tablet,30,88,<
160,building,reflector,158,10,>
161,cheese,speck,111,9,>
162,kitchen,kettle,189,3,>
163,roof,horse,413,1216,<
164,sticker,phone,42,177,<
165,window,stair,495,1495,<
166,banana,stove,58,177,<
167,rail,helmet,301,51,>
168,vase,petal,1058,58,>
169,ramp,leaf,327,37,>
170,hand,microwave,41,141,<
171,propeller,mountain,27,97,<
172,house,leg,194,50,>
173,knob,paint,5,104,<
174,t-shirt,stack,116,24,>
175,phone,pen,304,53,>
176,hat,court,47,561,<
177,object,button,269,43,>
178,jar,label,203,18,>
179,orange,couch,57,256,<
180,table,candle,2449,380,>
181,fin,beach,6,174,<
182,bike,head light,159,11,>
183,plate,macaroni,314,127,>
184,sink,plate,303,43,>
185,fence,hoof,304,12,>
186,arm,ramp,59,306,<
187,sticker,stack,9,258,<
188,door,thermostat,114,5,>
189,vase,surface,264,92,>
190,pimple,shirt,1,105,<
191,hoodie,wheel,297,27,>
192,microwave,bowl,864,81,>
193,tattoo,surfer,6,108,<
194,tarp,stripe,98,31,>
195,bicycle,container,108,22,>
196,decoration,dog,52,212,<
197,jacket,ear,1563,73,>
198,bottom,surfer,74,519,<
199,design,arm,95,246,<
200,sign,tan,205,599,<
201,stain,dog,18,345,<
202,grill,bus,64,524,<
203,paper,tomato,268,94,>
204,skin,bird,37,106,<
205,pole,pot,127,51,>
206,trash,pipe,149,60,>
207,twig,sheep,66,175,<
208,eye,boot,3,104,<
209,bench,poster,252,97,>
210,plant,bud,119,46,>
211,coat,cone,94,28,>
212,office,monitor,156,7,>
213,fence,glove,1113,93,>
214,camera,dress,123,341,<
215,hand,ear,1650,115,>
216,plant,bicycle,133,437,<
217,helmet,dress,47,155,<
218,fence,horse nose,185,10,>
219,face,giraffe,82,476,<
220,spot,fork,36,224,<
221,frame,horse,29,105,<
222,base,bat,56,360,<
223,hat,bead,105,19,>
224,plate,apron,124,310,<
225,controller,button,951,48,>
226,decor,bird,5,113,<
227,coffee maker,tile,33,94,<
228,zebra,roof,491,177,>
229,tie,skin,100,29,>
230,burner,stove,97,653,<
231,brick,bear,166,578,<
232,head,bicycle,34,297,<
233,ear,jacket,73,1563,<
234,roof,leaf,1102,344,>
235,tap,cat,20,232,<
236,van,bus,701,2319,<
237,button,ball,27,87,<
238,screen,bed,16,177,<
239,elephant,bottom,804,92,>
240,bar,bottle,537,76,>
241,building,handrail,72,28,>
242,design,mountain,11,122,<
243,mouth,bird,61,259,<
244,horse,lamb,97,16,>
245,pile,mirror,37,102,<
246,carpet,cat nose,122,1,>
247,sheep grazing,hill,9,159,<
248,tie,bracelet,297,33,>
249,handle,keyboard,19,157,<
250,face,branch,45,153,<
251,ad,number,87,14,>
252,letter,desk,36,171,<
253,shirt,loafer,90,18,>
254,logo,fence,24,563,<
255,box,apple,1000,407,>
256,brick,bus,395,1138,<
257,head,bag,264,637,<
258,bottle,dress,27,333,<
259,gold,sink,27,93,<
260,snow,speck,113,0,>
261,tip,train,8,144,<
262,zebras nose,zebra,10,257,<
263,cover,truck,27,165,<
264,building,puddle,133,43,>
265,wii remote,guy,25,86,<
266,center,dog,89,240,<
267,bench,panel,115,34,>
268,umbrella,toy,374,31,>
269,cushion,wood,61,219,<
270,boat,chimney,214,22,>
271,ribbon,teddy bear nose,103,2,>
272,pole,surf board,29,104,<
273,ad,building,24,92,<
274,flower,rain,11,89,<
275,cab,sign,378,65,>
276,lawn,pole,189,22,>
277,sheep,skin,99,1,>
278,tree,cup,541,122,>
279,clock,blind,92,338,<
280,tv,glass,657,262,>
281,photograph,glass,185,57,>
282,eye,bike,5,142,<
283,expanse,beach,77,31,>
284,light,booth,19,113,<
285,banana,strap,121,28,>
286,cushion,blind,27,146,<
287,candle,ribbon,33,111,<
288,ear,t-shirt,18,536,<
289,window,mouse,549,63,>
290,bag,whisker,130,11,>
291,fence,ring,142,12,>
292,batter,netting,11,119,<
293,t-shirt,window,678,239,>
294,number,bird,108,319,<
295,sprig,plate,17,202,<
296,tie,umbrella,86,576,<
297,glove,kitchen,3,100,<
298,guy,day,20,158,<
299,napkin,cat,29,125,<
300,wood,cable,97,24,>
301,plant,sticker,229,42,>
302,umbrella,duck,197,21,>
303,boat,level,138,39,>
304,symbol,pant,16,122,<
305,umpire,crowd,44,332,<
306,pair,jean,639,2049,<
307,horse,tire,1198,111,>
308,scarf,dress,78,308,<
309,box,eye,368,50,>
310,cooler,umpire,0,123,<
311,guy,jacket,1833,610,>
312,glass,blouse,79,299,<
313,pan,knife,319,70,>
314,tip,hat,23,169,<
315,elephant,camera,752,137,>
316,pizza,thumb,226,83,>
317,watch,board,17,312,<
318,cat,trash,509,93,>
319,counter,light,928,249,>
320,stair,pair,182,50,>
321,plate,hoodie,19,103,<
322,mountain,design,122,11,>
323,umbrella,weed,122,19,>
324,giraffe,sport,122,3,>
325,house,bus,309,736,<
326,catcher,camera,176,52,>
327,wood,fixture,232,62,>
328,box,drawer,90,311,<
329,balcony,seat,108,20,>
330,fork,shirt,331,1906,<
331,building,pant,3028,746,>
332,key,bottle,47,270,<
333,wood,knob,389,32,>
334,zebra,shoe,150,1,>
335,bus,dirt,227,85,>
336,marker,building,23,112,<
337,car,day time,1,499,<
338,stair,letter,236,13,>
339,ball,field,238,1046,<
340,train,boot,142,6,>
341,paint,knob,104,5,>
342,train,star,125,8,>
343,sheep,day,24,369,<
344,beach,house,544,229,>
345,cup,crumb,140,16,>
346,leaf,van,273,889,<
347,shirt,sheep,549,1882,<
348,towel,tennis,2,155,<
349,stone,hand,265,99,>
350,fur,cat,710,6035,<
351,ear,statue,8,336,<
352,frame,rug,65,208,<
353,pan,refrigerator,4,188,<
354,jean,star,90,20,>
355,monitor,cd,116,6,>
356,brick,house,176,614,<
357,toaster,cabinet,47,474,<
358,sheet,telephone,137,6,>
359,mattress,table,97,23,>
360,tree,stair,1116,343,>
361,building,neon,159,41,>
362,cat,tongue,197,35,>
363,wood,lettering,93,21,>
364,post,animal,94,339,<
365,racket,bag,123,23,>
366,meat,sandwich,309,3082,<
367,guy,goggle,344,27,>
368,bean,noodle,151,44,>
369,bag,monitor,68,192,<
370,cabinet,dial,134,2,>
371,lawn,hat,107,16,>
372,tennis,woman,254,27,>
373,fence,helmet,2679,274,>
374,symbol,cellphone,2,111,<
375,light,spectator,30,112,<
376,fruit,bear,55,220,<
377,glass,event,5,126,<
378,beef,sauce,102,38,>
379,toilet,mat,210,64,>
380,van,step,102,40,>
381,couple,foot,117,28,>
382,crayon,grape,182,54,>
383,cap,truck,109,594,<
384,flower,pumpkin,36,161,<
385,skier,ski stick,229,92,>
386,bunch,light,876,229,>
387,fridge,box,328,60,>
388,pot,ear,101,0,>
389,train,number,11410,222,>
390,letter,pastry,1,225,<
391,pad,paper,32,83,<
392,light,dot,195,39,>
393,seat,carriage,9,98,<
394,train,graffiti,997,220,>
395,shirt,letter,8665,714,>
396,letter,television,10,289,<
397,step,ear,116,6,>
398,sink,soap,855,36,>
399,ornament,table,17,144,<
400,toilet,wire,162,13,>
401,pen,button,250,69,>
402,bed,number,177,5,>
403,bowl,lettuce,458,191,>
404,number,boat,99,1457,<
405,couch,t-shirt,229,93,>
406,glass,map,26,81,<
407,spoon,dinner,1,103,<
408,roll,banana,15,112,<
409,wrist band,spectator,2,173,<
410,bicycle,tan,137,58,>
411,bench,ceiling,52,130,<
412,zebra,landscape,112,378,<
413,mixture,bowl,30,90,<
414,sheet,cup,112,8,>
415,thumb,banana,4,321,<
416,tile,column,40,130,<
417,vine,giraffe,38,138,<
418,television,couch,214,1280,<
419,paper,bar,24,82,<
420,head,forest,19,262,<
421,rabbit,cake,24,110,<
422,railing,post,217,59,>
423,frame,key,173,7,>
424,comforter,light,446,29,>
425,shirt,wave,963,4585,<
426,dress,beach,46,211,<
427,folder,cat,55,139,<
428,hole,eye,80,32,>
429,entrance,plane,13,92,<
430,magazine,television,13,104,<
431,dog,lamp,916,190,>
432,window,sponge,154,2,>
433,lettering,truck,82,425,<
434,sculpture,jacket,79,22,>
435,bat,field,200,587,<
436,pole,bed,17,186,<
437,flag,forest,3,154,<
438,table,skin,113,42,>
439,hoodie,glass,475,92,>
440,guy,flag,472,104,>
441,horse,trash,205,30,>
442,cuff,shirt,18,244,<
443,fruit,scale,143,46,>
444,hotdog,pepper,167,9,>
445,bench,helmet,567,78,>
446,graffiti,arm,168,50,>
447,bed,container,145,20,>
448,spectator,ball,435,185,>
449,elephant poop,elephant,7,197,<
450,t-shirt,towel,122,22,>
451,kite,pocket,97,20,>
452,arm,glove,408,140,>
453,zebra eating,leaf,98,2,>
454,ring,blanket,10,141,<
455,monkey,banana,526,156,>
456,dog,tongue,1611,45,>
457,blueberry,banana,36,207,<
458,spoke,bicycle,23,249,<
459,boot,house,12,94,<
460,couch,stool,180,16,>
461,sticker,animal,6,125,<
462,head,collar,247,37,>
463,apple,donut,27,102,<
464,carpet,button,269,22,>
465,plate,portion,1061,311,>
466,outfit,window,320,92,>
467,sandwich,pair,279,41,>
468,window,elephant,54,1047,<
469,bear,rope,253,44,>
470,ring,book,44,359,<
471,landscape,zebra,378,112,>
472,flower,shelf,194,515,<
473,cat,screw,331,0,>
474,door,van,126,492,<
475,boot,patch,112,46,>
476,bottle,boat,14,96,<
477,animal,tongue,113,0,>
478,mail box,tree,7,160,<
479,wine,cap,100,4,>
480,cup,dessert,49,216,<
481,jean,plane,23,202,<
482,snow,clock,419,179,>
483,giraffe,bridge,196,22,>
484,jacket,neon,138,40,>
485,shoe,box,189,481,<
486,dress,kite,158,549,<
487,shelf,paper,315,62,>
488,pizza,leaf,1960,126,>
489,umbrella,walkway,198,473,<
490,carpet,mattress,53,129,<
491,friend,shirt,566,48,>
492,bird,neck,1290,173,>
493,wire,pen,117,31,>
494,tree,shed,422,129,>
495,crust,sandwich,22,280,<
496,flag,stone,72,192,<
497,light,potato,29,90,<
498,hole,cheese,35,91,<
499,archway,building,149,461,<
500,house,ship,96,237,<
501,cap,spectator,55,533,<
502,passenger,jacket,148,23,>
503,bench,twig,235,9,>
504,wheel,hoodie,27,297,<
505,sandwich,lettuce,3076,326,>
506,animal,flag,133,40,>
507,pole,field,139,924,<
508,banana,bucket,240,69,>
509,carrot,rabbit,25,125,<
510,napkin,window,50,231,<
511,house,suv,211,89,>
512,pot,knife,238,88,>
513,forearm,shirt,10,98,<
514,belt,cake,7,152,<
515,jacket,sun glass,228,24,>
516,leaf,skirt,63,272,<
517,sweater,bucket,97,11,>
518,shoe,shoe lace,465,29,>
519,liquid,window,18,98,<
520,phone,blind,41,132,<
521,candle,ceiling,6,94,<
522,surf board,ripple,619,130,>
523,cat,design,1383,370,>
524,pant,candle,139,27,>
525,tree,friend,39,129,<
526,boot,fence,90,594,<
527,object,snow,156,427,<
528,ball,racket,501,1365,<
529,cat nose,bag,5,185,<
530,store,hat,172,19,>
531,chain,weed,28,122,<
532,hat,event,5,133,<
533,tooth,sink,151,21,>
534,bed,keyboard,147,8,>
535,train,wagon,134,37,>
536,helmet,kite,50,221,<
537,fixture,train,28,165,<
538,note,key,101,30,>
539,wheel,van,148,888,<
540,crowd,umbrella,1352,295,>
541,bicycle,field,17,110,<
542,basil,leaf,96,10,>
543,hat,building,587,3403,<
544,bed,plate,248,81,>
545,chain,house,15,107,<
546,rock,dog,892,2697,<
547,cat,woman,83,30,>
548,vehicle,ear,176,18,>
549,radio,shirt,21,113,<
550,napkin,fork,2564,974,>
551,rain,shoe,307,2,>
552,root,carrot,30,71,<
553,toilet,surface,93,22,>
554,mouse,device,27,76,<
555,carrot,pizza,11,201,<
556,hill,glove,825,31,>
557,hand,couch,77,879,<
558,comforter,design,127,9,>
559,bicycle,sneaker,165,24,>
560,rider,track,26,74,<
561,window,van,587,6530,<
562,rock,beach,571,1559,<
563,foot,clothe,28,85,<
564,goggle,pair,174,727,<
565,pair,pocket,264,63,>
566,liquid,cup,120,432,<
567,sign,rim,128,34,>
568,face,skirt,17,86,<
569,pillow,puppy,44,137,<
570,goat,pair,110,46,>
571,pier,bird,217,80,>
572,sign,cake,101,424,<
573,purse,elephant,18,229,<
574,arrow,bicycle,42,253,<
575,wire,bolt,162,8,>
576,audience,umpire,122,32,>
577,dial,stove,9,170,<
578,beach,pole,468,132,>
579,swan,neck,176,16,>
580,tongue,cow,46,294,<
581,utensil,table,286,971,<
582,sink,lamp,230,77,>
583,blind,refrigerator,38,150,<
584,pant,collar,239,18,>
585,spoon,pile,76,210,<
586,screw,pair,4,352,<
587,collar,shoe,36,214,<
588,frisbee,glass,747,251,>
589,bag,bridge,14,105,<
590,fan,glove,144,15,>
591,variety,carrot,166,2,>
592,cap,horse,150,2114,<
593,sack,jacket,11,105,<
594,pile,handle,368,50,>
595,bow tie,vest,19,256,<
596,eye,key,20,87,<
597,dog,jar,129,34,>
598,vest,brick,125,46,>
599,fruit,hand,206,88,>
600,onion,shirt,60,221,<
601,eye,doll,12,476,<
602,dog,diamond,105,6,>
603,stripe,lettering,197,81,>
604,spot,weed,22,215,<
605,fountain,flower,102,18,>
606,elephant,pant,1798,202,>
607,beach,sandal,221,10,>
608,paper,pizza,338,1167,<
609,skier,cap,629,62,>
610,broccoli,onion,767,242,>
611,dresser,knob,185,2,>
612,clock,tv,38,513,<
613,handle,vest,10,140,<
614,cream,spoon,67,170,<
615,stack,toilet,16,183,<
616,skateboarding,shoe,537,8,>
617,walkway,bag,286,35,>
618,plate,lid,456,70,>
619,opening,window,333,134,>
620,counter,cord,122,24,>
621,calf,tail,145,10,>
622,ribbon,horse,28,282,<
623,fridge,pot,217,17,>
624,mirror,necklace,87,19,>
625,shoe,pack,69,218,<
626,parrot,tail,157,9,>
627,lettering,bus,120,1252,<
628,leaf,shore,12,99,<
629,jean,container,151,46,>
630,logo,surf board,14,526,<
631,onion,spoon,110,330,<
632,hat,wrinkle,96,22,>
633,umpire,field,209,488,<
634,banana,cookie,188,44,>
635,sheep nose,lamb,2,192,<
636,drain,window,36,189,<
637,coat,bucket,85,25,>
638,bench,stone,1369,490,>
639,dog,vase,181,56,>
640,glove,couple,12,103,<
641,chest,leaf,146,37,>
642,box,vegetable,101,242,<
643,sign,bull,34,193,<
644,window,photograph,87,261,<
645,wii remote,finger,21,84,<
646,bear,duck,225,32,>
647,pole,ramp,70,322,<
648,plate,spinach,598,145,>
649,shoe,court,118,1052,<
650,leg,railing,28,91,<
651,handle,knife,203,1265,<
652,plug,computer,14,109,<
653,blender,refrigerator,21,138,<
654,bean,basket,34,153,<
655,pile,bottom,251,55,>
656,design,pot,92,331,<
657,toilet,garbage,533,72,>
658,bush,seat,144,54,>
659,sheep,hoof,536,24,>
660,bird,boat,1367,3756,<
661,wave,pair,645,78,>
662,stripe,board,83,410,<
663,shade,jacket,38,94,<
664,pedestrian,bag,201,24,>
665,smoke,wing,398,59,>
666,magazine,letter,160,10,>
667,ring,container,23,84,<
668,belly,bird,24,210,<
669,letter,tarmac,3,137,<
670,plant,walkway,33,137,<
671,bucket,kid,12,108,<
672,bag,costume,5,147,<
673,stack,screen,48,143,<
674,object,beach,52,336,<
675,window,apartment,16,159,<
676,bike,day,20,199,<
677,pant,necklace,315,51,>
678,sign,screen,92,309,<
679,bracelet,wine,15,105,<
680,silver,window,89,19,>
681,spoon,dessert,70,389,<
682,uniform,cap,576,23,>
683,bed,tree,428,154,>
684,ketchup,bread,34,106,<
685,window,orange,874,2070,<
686,tie,ear ring,114,2,>
687,toilet,number,207,0,>
688,wheel,mouse,39,149,<
689,crust,olive,196,54,>
690,chef,glass,99,29,>
691,crumb,meat,26,115,<
692,plant,porch,21,92,<
693,scissors,nail,101,13,>
694,kitchen,light,1125,86,>
695,fur,forest,13,92,<
696,bracelet,camera,24,239,<
697,computer,office,18,128,<
698,pole,crane,55,196,<
699,rose,bunch,120,49,>
700,marking,sheep,30,290,<
701,luggage tag,luggage,14,253,<
702,flower,plane,81,378,<
703,park,bench,804,338,>
704,kitchen,apron,440,45,>
705,van,plate,91,14,>
706,tree,poll,87,30,>
707,stain,pizza,2,127,<
708,curtain,cloth,315,98,>
709,blind,glass,491,181,>
710,plate,pumpkin,146,16,>
711,hill,animal,652,247,>
712,helmet,child,31,121,<
713,sign,frisbee,173,603,<
714,graffiti,skateboarding,40,150,<
715,fan,cup,91,12,>
716,bunch,ear,483,49,>
717,pant,couch,165,633,<
718,shirt,pepper,220,23,>
719,bruising,banana,5,110,<
720,eye,body,10,434,<
721,jar,window,35,293,<
722,ear,vehicle,18,176,<
723,meat,hotdog,6,98,<
724,wave,cable,129,42,>
725,control,tile,29,81,<
726,bear,jug,93,10,>
727,comforter,foot,107,11,>
728,plate,suit,32,209,<
729,glove,mouth,118,28,>
730,day,cow,432,55,>
731,shutter,clock,48,216,<
732,poster,guy,44,179,<
733,handle,pizza cutter,5,107,<
734,catcher,belt,618,12,>
735,helmet,snow boarding,4,99,<
736,horse,string,158,15,>
737,window,cabin,13,231,<
738,flag,biker,0,111,<
739,livestock,cow,183,39,>
740,cap,counter,18,90,<
741,orange,baby,44,169,<
742,lamp,jacket,105,304,<
743,spot,couple,11,125,<
744,pot,curtain,46,207,<
745,ski,body,189,49,>
746,bed,sofa,169,47,>
747,mountain,shrub,273,57,>
748,shirt,pedestrian,69,227,<
749,bolt,bench,19,588,<
750,banana,bruise,722,32,>
751,tube,toilet,17,313,<
752,bar,train,91,429,<
753,coat,giraffe,86,215,<
754,leaf,pitcher,16,149,<
755,patch,cat,263,2498,<
756,face,racket,16,141,<
757,baby,mom,54,168,<
758,bottle,wood,131,653,<
759,bear,bird,848,186,>
760,post,ski,29,143,<
761,surf board,head,488,6,>
762,wii,hat,136,31,>
763,umbrella,drum,79,33,>
764,foliage,plant,149,47,>
765,fork,hotdog,35,161,<
766,key,head,7,146,<
767,outlet,handle,24,110,<
768,mouth,pole,19,218,<
769,ornament,teddy,35,135,<
770,spoon,plant,26,112,<
771,bed,cat nose,114,0,>
772,skate board,window,230,28,>
773,crowd,logo,290,9,>
774,cabinet,button,278,18,>
775,lock,car,2,109,<
776,net,advertisement,116,9,>
777,tail,bush,73,1002,<
778,train,boxcar,145,41,>
779,sheep,cap,329,92,>
780,kitchen,blender,144,17,>
781,flag,helmet,780,277,>
782,tennis,wrist,193,0,>
783,spot,branch,127,1007,<
784,letter,cap,222,635,<
785,plate,hole,686,48,>
786,eye,tan,21,533,<
787,orange,guy,139,420,<
788,bag,path,25,119,<
789,bike,outfit,138,55,>
790,helmet,slope,63,675,<
791,vehicle,leg,84,30,>
792,crouton,salad,12,190,<
793,vase,display,45,163,<
794,bench,cone,139,39,>
795,soccer,pair,406,4,>
796,tape,box,50,153,<
797,helmet,cycle,22,162,<
798,clock,marker,104,27,>
799,bowl,blueberry,324,30,>
800,eagle,flower,98,25,>
801,trail,jet,103,34,>
802,toy,sweater,44,104,<
803,train,name,563,47,>
804,wheel,bush,132,542,<
805,toddler,handle,109,3,>
806,forehead,horse,15,134,<
807,bolt,pair,4,186,<
808,leaf,stack,71,318,<
809,bat,pair,675,272,>
810,surfer,sign,113,24,>
811,seagull,fish,94,11,>
812,table,pipe,117,35,>
813,orange,meal,2,110,<
814,keyboard,coffee,87,27,>
815,counter,vent,76,31,>
816,train,dirt,637,203,>
817,controller,tv,84,251,<
818,phone,train,31,201,<
819,car,beard,116,26,>
820,bird,vase,77,378,<
821,bottle,chef,0,112,<
822,eye,squirrel,14,274,<
823,giraffe,day,165,386,<
824,tip,spot,52,136,<
825,cable,dog,38,159,<
826,plate,ribbon,200,60,>
827,sandal,tire,32,85,<
828,moon,snow,4,112,<
829,pan,orange,80,31,>
830,glass,lettering,211,85,>
831,sweater,hat,1098,279,>
832,stripe,tree,1446,5627,<
833,banner,truck,47,284,<
834,bed,glass,775,76,>
835,jacket,flower,1349,361,>
836,logo,wire,24,241,<
837,orange,utensil,91,32,>
838,window,drain,189,36,>
839,leg,wrinkle,123,23,>
840,eye,drawer,7,118,<
841,book,figurine,144,46,>
842,sleeve,kid,14,151,<
843,flag,van,110,360,<
844,bracelet,door,6,151,<
845,leaf,monkey,9,170,<
846,bus,curb,695,175,>
847,bread,sugar,113,12,>
848,scarf,eye,462,28,>
849,stove,knob,1812,79,>
850,board,switch,132,0,>
851,forest,leg,213,9,>
852,vase,stripe,289,70,>
853,box,bench,74,323,<
854,pocket,fence,2,112,<
855,fur,building,37,104,<
856,minivan,building,97,242,<
857,camera,television,36,89,<
858,sofa,ottoman,192,24,>
859,bicycle,hat,1390,172,>
860,building,bolt,328,14,>
861,button,container,55,254,<
862,shoe,bracelet,199,64,>
863,chairlift,snow,27,73,<
864,board,shore,33,82,<
865,clock,tower,699,6231,<
866,cap,screen,19,96,<
867,weather,clock,101,13,>
868,tv,blind,168,401,<
869,counter,letter,163,10,>
870,light,series,41,190,<
871,kitchen,refrigerator,654,176,>
872,string,guitar,3,237,<
873,duvet,pillow,128,27,>
874,statue,eye,423,13,>
875,handle,bed,3,579,<
876,stripe,crosswalk,30,115,<
877,letter,cable,38,335,<
878,lid,letter,88,34,>
879,hat,crowd,179,1386,<
880,lettering,box,33,252,<
881,microwave,cord,376,34,>
882,clothing,eye,110,5,>
883,control,blind,19,139,<
884,string,flag,165,41,>
885,chimney,bench,8,95,<
886,bed,jacket,266,44,>
887,beanie,tree,96,316,<
888,couple,sock,111,10,>
889,backpack,stack,95,32,>
890,chin,hat,14,179,<
891,arrow,keyboard,1,252,<
892,tip,bag,3,130,<
893,hoof,mane,31,147,<
894,jacket,policeman,25,118,<
895,toilet,symbol,119,2,>
896,dog,thumb,352,16,>
897,bear,fern,134,45,>
898,ear,stack,12,238,<
899,shirt,helmet,7142,2200,>
900,tire,smoke,14,97,<
901,cup,number,241,45,>
902,slice,skin,95,13,>
903,ladder,truck,84,395,<
904,mirror,lighting,123,49,>
905,tower,flag,602,64,>
906,wheel,firetruck,4,112,<
907,car,lane,120,362,<
908,tree,rod,112,36,>
909,cattle,horn,167,28,>
910,sign,stain,137,46,>
911,giraffe,rock,11946,2615,>
912,deck,umbrella,251,105,>
913,dog nose,frisbee,24,545,<
914,cup,counter,158,472,<
915,garbage,mirror,35,192,<
916,ceiling,bench,130,52,>
917,curtain,beard,106,28,>
918,hat,pizza,153,583,<
919,bird,tuft,93,10,>
920,barrel,hat,163,39,>
921,bottom,elephant,92,804,<
922,sandal,sign,71,172,<
923,cement,wheel,210,40,>
924,helmet,wave,46,422,<
925,letter,scratch,177,31,>
926,branch,tree,2309,7374,<
927,bench,wrist,109,0,>
928,goat,leg,632,25,>
929,dresser,pillow,868,212,>
930,scarf,train,4,205,<
931,pair,couple,92,532,<
932,spoon,ware,118,50,>
933,racket,hat,997,187,>
934,letter,fridge,6,205,<
935,hat,pink,54,194,<
936,wire,dog,167,621,<
937,elephant,bell,159,6,>
938,refrigerator,orange,154,31,>
939,sauce,meal,10,356,<
940,handle,bath tub,2,143,<
941,stone,path,39,216,<
942,bird,bud,375,28,>
943,desk,telephone,508,71,>
944,plate,saucer,881,284,>
945,door,pane,340,14,>
946,horse,bandana,126,30,>
947,kitten,window,110,33,>
