,o1,o2,>,<,typical
218,shift key,mac laptop,32,5217,<
219,snowboarding pant,part,238,29,>
220,fron tire,skateboard,8,100,<
221,mountain,adult horse,111,72,">,<"
222,balcony window,building window,50,65,">,<"
223,grass field,dog,482,124,>
224,tiger stripe,cat eye,207,36,>
225,banana bunch,mango,86,66,">,<"
226,tomato sauce,cheese pizza,28,301,<
227,toilet,toilet water tank,137,23,>
228,bus window,age building,24,211,<
229,pillow,hazel eye,173,12,>
230,dog sandwich,onion,124,7,>
231,bike,rubber bicycle tire,398,58,>
232,water body,tower window,153,0,>
233,building front,maple tree,60,169,<
234,hand,shirt collar,90,36,>
235,computer screen,surface table,83,57,">,<"
236,clothe,bunch banana,46,76,">,<"
237,mountain,barren tree,147,22,>
238,bed comforter,alarm clock,101,4,>
239,salad vegetable,salad bowl,141,228,">,<"
240,grass giraffe,chain link fence,68,41,">,<"
241,ear,toy dog,96,1883,<
242,hand side,pair,57,108,">,<"
243,leather pant,girl riding horse,20,271,<
244,button mushroom,salad vegetable,20,84,<
245,bucket,gallon bucket,92,23,>
246,sugar donut,doughnut,151,129,">,<"
247,wetsuit top,wave ripple,105,24,>
248,cabinet door,sink,52,61,">,<"
249,bus head light,part,79,115,">,<"
250,bus passenger window,bus headlight,144,23,>
251,water bottle,pepsi bottle,81,43,">,<"
252,street sign,road curb,41,76,">,<"
253,mountain,street light,204,39,>
254,pizza board,tomato,111,9,>
255,fence,cow,671,708,">,<"
256,mom elephant,wire fence,89,52,">,<"
257,baseball shoe,frisbee,74,220,<
258,amber beer,beer bottle,76,76,">,<"
259,bedroom door,lamp,130,10,>
260,butter knife,salad plate,2,127,<
261,train car,train rail,141,139,">,<"
262,blackberry phone,bead,101,8,>
263,vase flower,end table,62,148,<
264,swim trunk,board surfer,75,404,<
265,group,motorcycle wheel,121,39,>
266,spaghetti strap shirt,couch,49,92,">,<"
267,wine glass,amber light,231,26,>
268,bed sheet,mac book,128,18,>
269,animal,part,126,26,>
270,isa teddy bear,heart,201,13,>
271,shade tree,shrub,172,61,>
272,bus mirror,rubber bus tire,38,67,">,<"
273,street car,lamp post,53,95,">,<"
274,arm rest,chair cat,74,146,">,<"
275,kitchen table,wood kitchen table,95,49,">,<"
276,motorbike,bike tire,355,40,>
277,clock face,brick building,33,366,<
278,kitchen table,fruit plate,47,88,">,<"
279,baseball umpire,pitcher,69,39,">,<"
280,fork,bowl,33,94,<
281,desk lamp,mac laptop,111,532,<
282,brick apartment building,cop car,93,20,>
283,motorcycle,metal fence,61,113,">,<"
284,iron leaf,transportation vehicle,31,74,<
285,peace sign,tennis racket,56,63,">,<"
286,bed table,chair cat,29,87,<
287,motorcycle,shop door,105,32,>
288,cheddar cheese,food paper,43,96,">,<"
289,statue,stair,62,45,">,<"
290,skiing glove,snowboarding,5,114,<
291,jean,transportation vehicle,44,56,">,<"
292,hour hand,time clock,8,208,<
293,fruit pile,shirt,100,62,">,<"
294,street lamp,police car,67,46,">,<"
295,dog,glass part,692,90,>
296,beach umbrella,cooler,166,6,>
297,home plate umpire,umpire helmet,320,11,>
298,baseball mitt,base ball player,29,298,<
299,ship,tug boat,128,101,">,<"
300,keyboard button,keyboard key,67,113,">,<"
301,skateboard,bottom,1044,177,>
302,water body,mountain top,83,22,>
303,ski sign,ski coat,105,163,">,<"
304,snow ski,skiing helmet,128,20,>
305,plane tail,airport window,597,135,>
306,motorbike,bush tree,116,75,">,<"
307,broccoli,dinner meal,22,404,<
308,cow,banana tree,163,63,>
309,wood,sofa,37,110,<
310,bench leg,focus tree,24,140,<
311,suit,wine glass,107,13,>
312,snowboard jacket,skiing glove,1198,136,>
313,ski pole,lady skier,203,688,<
314,chain link fence,skateboard,285,149,">,<"
315,street light,triangle street sign,161,232,">,<"
316,pizza plate,tomato sauce,407,87,>
317,shade,tree,37,73,">,<"
318,cheesecake,fork,140,49,>
319,wrinkle,elephant leg,43,338,<
320,computer desk,apple magic mouse,229,15,>
321,dirt patch,pitcher,33,73,">,<"
322,row window,taxi car,32,165,<
323,tower clock,section,71,47,">,<"
324,cell phone,woman shirt,58,65,">,<"
325,kite string,windsurfing kite,193,106,">,<"
326,umpire helmet,home plate umpire,11,320,<
327,taxi van,bus,41,79,">,<"
328,outlet plate,fry plate,58,58,">,<"
329,passenger train window,train engine,26,1161,<
330,bus bench,rail train,3,273,<
331,towel rack,restroom sink,24,112,<
332,bandana,pair,33,90,<
333,tail wing,airplane tail,66,70,">,<"
334,cup handle,mug,9,126,<
335,police car,police patrol motorcycle,81,125,">,<"
336,water bottle,work shirt,33,219,<
337,grass elephant,grass patch,1047,308,>
338,adult giraffe,mom giraffe,579,684,">,<"
339,orange,door car,50,71,">,<"
340,bathroom tile,toilet seat lid,78,126,">,<"
341,skateboard shadow,skate ramp,19,116,<
342,sun,group,148,272,">,<"
343,block letter,iron leaf,57,130,">,<"
344,flatscreen tv,hotel room bed,12,238,<
345,stripe,flag,86,171,">,<"
346,bird,animal ear,108,18,>
347,steak knife,tomato,88,65,">,<"
348,dirt patch,field front,31,77,<
349,cell phone camera,glass,75,27,>
350,snow,clydesdale horse,78,90,">,<"
351,flower,teddy bear,85,691,<
352,van window,van door,26,80,<
353,frisbee,pant leg,213,128,">,<"
354,apple keyboard,control key,331,4,>
355,shoe,street pole,16,99,<
356,rock,vehicle beach,75,166,">,<"
357,neck giraffe,chain link fence,90,87,">,<"
358,clock building,street light,210,18,>
359,traffic light,bus front,104,148,">,<"
360,rider,chestnut horse,49,139,<
361,phone,cell phone,578,422,">,<"
362,work horse,part,517,27,>
363,bush,oak tree,42,172,<
364,police horse,police uniform,100,42,>
365,pillow,footboard,23,163,<
366,part,dairy cow,26,209,<
367,cow,marking,138,21,>
368,mud,mom giraffe,12,92,<
369,screen door,toy dog,24,80,<
370,focus tree,grove tree,41,66,">,<"
371,dairy cow,pant,333,26,>
372,stripe bullet train,tree,91,16,>
373,crack,rock,70,123,">,<"
374,decker tour bus,road side,57,50,">,<"
375,pizza,pizza top,425,84,>
376,kitchen drawer,kitchen,10,146,<
377,soap holder,bathroom mirror,2,213,<
378,animal ear,piece,37,72,">,<"
379,market table,fruit,58,50,">,<"
380,buildinga building,rectangle window,385,28,>
381,minute,ben clock,8,94,<
382,sun glass,shirt,26,102,<
383,napkin,breakfast table,64,246,<
384,stone building,tower top,223,21,>
385,desk lamp,cell phone,103,13,>
386,bench,spot,104,4,>
387,mountain,airplane,401,191,">,<"
388,grandfather clock,ben clock,66,38,">,<"
389,motorcycle,motorcycle head light,744,30,>
390,person head,collard shirt,30,314,<
391,tv,book,357,113,>
392,freezer part,lunch tray,6,121,<
393,motorcycle,bike fender,243,15,>
394,fire hydrant,window pane,50,66,">,<"
395,giraffe,field front,244,252,">,<"
396,umbrella,roof building,18,106,<
397,head,cell phone,123,103,">,<"
398,pick-up truck,truck headlight,206,13,>
399,clock face,figure,72,48,">,<"
400,wave,wave foam,417,358,">,<"
401,jean,laptop,271,110,>
402,shirt,metal hand,106,54,">,<"
403,equipment bag,suitcase,107,185,">,<"
404,tree base,tree trunk,69,105,">,<"
405,mama giraffe,leaf,222,60,>
406,block building,apartment window,281,10,>
407,kitchen utensil,grocery bag,8,115,<
408,apple laptop,apple brand laptop,135,93,">,<"
409,duck,flower,93,38,>
410,house plant,kitchen window,71,300,<
411,train door,subway train door,83,85,">,<"
412,traffic light,train signal light,125,25,>
413,food plate,night table,99,118,">,<"
414,tennis sneaker,shadow,15,92,<
415,controll button,cell phone,36,1748,<
416,leaf,purse,49,71,">,<"
417,banana bunch,bunch,97,152,">,<"
418,lettering,taxi car,43,99,">,<"
419,ski jacket,pair ski,418,864,">,<"
420,baseball uniform,baseball helmet,307,14,>
421,passenger airplane,runway plane,66,39,">,<"
422,bus front,palm tree,46,143,<
423,slice,brownie cup cake,48,59,">,<"
424,park bench,eyeglass,96,4,>
425,ski hill,skiing glove,662,21,>
426,passenger train window,locomotive,1,100,<
427,transit bus,traffic pole,101,8,>
428,mountain,sheep,1372,431,>
429,shower curtain,toilet lid,440,41,>
430,bird,ben clock,90,76,">,<"
431,bus tire,shuttle bus,61,947,<
432,part,clock hand,65,74,">,<"
433,bus windshield,bus tire,627,64,>
434,ear,necklace,18,178,<
435,winter tree,ski pant,194,45,>
436,grass patch,home plate,96,22,>
437,grassland,zebra,149,35,>
438,wing feather,bird feather,74,49,">,<"
439,train car,box car,146,79,">,<"
440,switch,couch,3,283,<
441,motorcycle racer,honda motorcycle,40,117,<
442,ocean beach,face kite,25,104,<
443,glass,mac keyboard,17,122,<
444,beach,water edge,204,30,>
445,pair ski,winter tree,19,102,<
446,engine part,propeller plane,20,191,<
447,cat whisker,suitcase,10,90,<
448,part,plane engine,109,162,">,<"
449,sweatshirt,object,84,31,>
450,collard shirt,pajama pant,82,34,>
451,truck wheel,pickup truck,12,226,<
452,tennis rack,tennis player,23,78,<
453,jean,tattoo,245,30,>
454,toilet seat lid,toilet lid,119,124,">,<"
455,breakfast table,table plate,122,16,>
456,group,pickup truck,71,32,">,<"
457,fork side,food,61,134,">,<"
458,bike seat,speed bike,13,155,<
459,dog,camera bag,133,41,>
460,propeller,delta airplane,3,137,<
461,neck tie,suit top,93,10,>
462,bridge,clock tower building,63,48,">,<"
463,leather headboard,pillow,241,53,>
464,water body,moss,91,21,>
465,snow,waterfront,65,65,">,<"
466,glass window,transit train,6,393,<
467,car top,suv,23,122,<
468,bottom,tennis court,8,125,<
469,fedex plane,cherry tree,5,105,<
470,bush tree,baby bird,118,31,>
471,baby bear,animal ear,306,19,>
472,bunch banana,phone number,103,6,>
473,bird,roof building,114,50,">,<"
474,metal fence,brick,176,41,>
475,cheese pizza,spinach pizza,105,229,">,<"
476,porcelain pedestal sink,shower tile,161,49,>
477,woman arm,pant,23,82,<
478,sunglass,wristband,88,36,>
479,herd animal,elephant,143,154,">,<"
480,glass train window,subway train door,38,94,<
481,powder snow,skier head,1311,64,>
482,living room table,coffee table,51,108,">,<"
483,plant,grass field zebra,60,70,">,<"
484,woman head,frisbee,34,176,<
485,shift key,hand side,32,124,<
486,eyeglass,dog,26,227,<
487,street lamp,bus stop sign,84,51,">,<"
488,skier,snowboard guy,114,101,">,<"
489,vase flower,flower petal,486,31,>
490,metal fence,leaf,286,49,>
491,sweater,ribbon,87,26,>
492,carrot,produce table,196,250,">,<"
493,keyboard,desktop computer,3,102,<
494,building roof,iron leaf,127,75,">,<"
495,stove front,chair cat,82,68,">,<"
496,jacket,sheep,41,191,<
497,surfer hand,surfing wave,7,266,<
498,plate top,napkin,117,133,">,<"
499,crust edge,bottom,38,78,">,<"
500,bag,ben clock,14,98,<
501,rock building,fish kite,36,93,<
502,fork side,steak knife,93,67,">,<"
503,wood,tree branch,183,143,">,<"
504,brick building,street bike,79,24,>
505,glass,tank top,22,82,<
506,tennis player,spectator stand,106,101,">,<"
507,drape,bedside lamp,94,14,>
508,government building,building front,277,47,>
509,table plate,metal dinner fork,109,18,>
510,apple,pant,22,123,<
511,buildinga building,telephone pole,98,33,>
512,plate food,soup bowl,116,50,">,<"
513,dog,tv,250,200,">,<"
514,fork,banana,47,86,">,<"
515,cow horn,cow leg,73,98,">,<"
516,oak tree,train car,128,51,>
517,water body,rise apartment building,260,43,>
518,building front,brick part,111,31,>
519,plaid shirt,horse tail,72,45,">,<"
520,fruit pile,banana bunch,358,183,">,<"
521,boogie board,surfer riding wave,34,290,<
522,tree trunk,horse,170,279,">,<"
523,catcher,crowd,29,205,<
524,tennis racket,person hand,491,26,>
525,group,kitchen table,106,60,">,<"
526,cell phone,muscle shirt,31,80,<
527,motorcycle tire,tail light,190,4,>
528,amber eye,couple,1,107,<
529,glass window,train rail,2,116,<
530,nike shirt,shuttle bus,15,225,<
531,zebra stripe,twig,39,66,">,<"
532,pot plant,flag,44,69,">,<"
533,bowl food,rice,256,138,">,<"
534,wheat plant,cow,133,137,">,<"
535,person skateboard,cement edge,89,41,">,<"
536,cabinet door,kitchen,37,374,<
537,water bear,animal ear,2124,98,>
538,someone hand,cell phone screen,99,5,>
539,group,melting snow,76,69,">,<"
540,grass section,mom giraffe,32,108,<
541,snow jacket,snow board,37,74,">,<"
542,beach,paddle boat,92,8,>
543,plane engine,plane tail,220,781,<
544,tie,eyeglass guy,12,161,<
545,ski jacket,winter clothing,29,105,<
546,ski boot,ski goggle,130,33,>
547,bus front,text,74,31,>
548,dirt giraffe,mom giraffe,142,130,">,<"
549,stabilizer,airway plane,2,188,<
550,glass tile,shower tile,43,64,">,<"
551,salad bowl,kitchen table,90,109,">,<"
552,leaf,bear,398,2648,<
553,skateboard,snowboard pant,626,489,">,<"
554,basement window,melting snow,63,144,">,<"
555,glass window,day,2,133,<
556,giraffe,view,108,48,">,<"
557,baby elephant,adult elephant,662,998,">,<"
558,plane tail,orange,94,104,">,<"
559,ski shoe,snow,41,140,<
560,jean,denim shirt,62,55,">,<"
561,chain link fence,tennis hat,271,37,>
562,top,part,651,232,>
563,coffee mug,library book,2,123,<
564,tree branch,conifer tree,93,110,">,<"
565,surfboard,body part,838,78,>
566,tooth,camera,65,96,">,<"
567,shade tree,forest,67,174,<
568,brick building,train door,128,14,>
569,dog mouth,sheep dog,48,517,<
570,baby carrot,giraffe,6,120,<
571,lamp post,part,178,60,>
572,bride,wedding dress,491,176,>
573,frisbee,skirt,80,116,">,<"
574,vase,terracotta pot,73,69,">,<"
575,shade tree,bush branch,121,50,>
576,breakfast table,sugar,103,24,>
577,bridge,water body,137,370,<
578,olive,salad,11,107,<
579,home plate umpire,knee pad,116,6,>
580,water body,glass part,100,6,>
581,couch,library book,184,49,>
582,orange,surfboard,144,328,">,<"
583,stripe bullet train,train car number,180,4,>
584,gala apple,kitchen sink,40,82,">,<"
585,vest,hat riding horse,16,188,<
586,stone,grizzly bear,71,205,<
587,soap dispenser,glass part,92,23,>
588,tennis player,athlete,48,88,">,<"
589,book,flower,208,231,">,<"
590,sheep,slope,10,121,<
591,paint,toilet seat,67,98,">,<"
592,street light,decker bus,72,523,<
593,street sign,chimney,145,22,>
594,grass playing field,park,43,77,">,<"
595,group,range top,253,48,>
596,bicycle,motor cycle helmet,243,42,>
597,cat ear,calico cat,38,1446,<
598,bike,vehicle beach,53,53,">,<"
599,group,peacoat,330,17,>
600,wave,water surface,137,211,">,<"
601,car driving,taxi car,39,63,">,<"
602,traffic sign,school crossing sign,69,54,">,<"
603,dirt,base ball hat,578,90,>
604,cell phone,wrinkle,106,12,>
605,window ledge,house cat,105,116,">,<"
606,computer part,tv,42,459,<
607,clock tower building,ben clock,518,85,>
608,skirt,sandal,122,23,>
609,collar,eyeglass,29,75,<
610,street bench,book bag,98,6,>
611,head,skateboard,8,186,<
612,clothing,chair cat,30,90,<
613,tennis,person head,358,2,>
614,stop sign,car top,149,37,>
615,base ball player,baseball player pant,657,359,">,<"
616,plane tail,palm tree,10,97,<
617,soccer field,kid,72,74,">,<"
618,mouse pad,computer wire,64,39,">,<"
619,bike helmet,shade tree,25,204,<
620,boat,paint,98,36,>
621,clock face,building roof,38,177,<
622,necklace,horse,13,118,<
623,bench,grass section,65,36,">,<"
624,shirt,sheep,151,519,<
625,pair,bedside lamp,57,45,">,<"
626,police horse,pant,457,18,>
627,desk top,office window,32,69,">,<"
628,bird body,kite,118,45,>
629,beard,pant,49,138,<
630,book,chair cat,140,797,<
631,bird feather,bird leg,137,74,">,<"
632,computer part,office window,21,153,<
633,capitol building,nike shirt,86,22,>
634,face,mouth,232,31,>
635,bag,train track,4,126,<
636,shade tree,dormer window,231,7,>
637,apple,plate top,62,58,">,<"
638,orange,bus wheel,89,18,>
639,powder snow,winter glove,386,12,>
640,ski flag,mountain,0,177,<
641,motorcyclist,motorcycle wheel,189,35,>
642,airport,airplane wing,91,21,>
643,nike sign,pair,45,67,">,<"
644,tree trunk,maple leaf,88,111,">,<"
645,giraffe spot,giraffe tail,483,525,">,<"
646,pile,mac laptop,35,166,<
647,group,skiing helmet,171,14,>
648,tv,cd,153,6,>
649,sign letter,polo shirt,20,95,<
650,apple imac computer,mac keyboard,131,5,>
651,flatscreen tv,length mirror,33,120,<
652,towel,shower door,35,427,<
653,ben clock,jean,50,91,">,<"
654,head,cow,5,123,<
655,cell phone,suit jacket,46,127,<
656,bedroom door,room light,183,11,>
657,window reflection,ben clock,33,153,<
658,brick,orange,113,213,">,<"
659,tree,bird kite,83,32,>
660,zoo,giraffe spot,143,0,>
661,pole,zebra,107,558,<
662,group,suv,130,43,>
663,person hand,pizza plate,20,110,<
664,plane tire,propeller plane,9,347,<
665,zebra stripe,zebra neck,163,309,">,<"
666,bus roof,bus wheel,146,23,>
667,building awning,row window,102,17,>
668,room light,collard shirt,21,119,<
669,street light,parking meter,54,123,">,<"
670,shade tree,bike helmet,204,25,>
671,bottom,restroom sink,37,96,<
672,graffiti,brick,186,64,>
673,condo building,town car,119,28,>
674,ski lift,fir tree,130,117,">,<"
675,snowboard,snowboard ramp,49,262,<
676,bunch banana,plenty vegetable,108,73,">,<"
677,fire hydrant,jacket,91,66,">,<"
678,gull,sea bird,178,134,">,<"
679,bus window,car top,111,147,">,<"
680,sweater,glass window,84,29,>
681,water bottle,shirt,75,522,<
682,ramp skateboarder,roof car,118,21,>
683,snowboard,snow clump,113,8,>
684,couch,tv,1037,286,>
685,couch,bay window,84,27,>
686,sunglass,pant leg,30,74,<
687,hotel bed,mattress,104,38,>
688,bike,bicycle seat,671,2,>
689,clock number,clock face,90,595,<
690,vase flower,ceiling fan,21,81,<
691,monitor,computer desk,43,214,<
692,sandwich wrapper,chili cheese dog,90,127,">,<"
693,ski jacket,mountain peak,22,84,<
694,tower clock,clocktower,1,268,<
695,conifer tree,field front,26,83,<
696,bedroom window,bed pillow,163,46,>
697,elephant tusk,elephant side,26,103,<
698,leaf,dairy cow,18,117,<
699,vehicle beach,parachute kite,74,26,>
700,glass,butter knife,94,95,">,<"
701,train station building,train engine,115,367,<
702,eyeglass,pinstripe shirt,33,78,<
703,spectator seat,racket,63,50,">,<"
704,baseball field,baseball pitcher,83,21,>
705,fishing hat,water body,9,218,<
706,sweatshirt,wii,152,179,">,<"
707,building awning,buildinga building,18,142,<
708,tow rope,group,44,192,<
709,bathroom light fixture,towel,62,103,">,<"
710,cop car,license plate,495,27,>
711,top,adult zebra,157,685,<
712,brick,curtain,63,151,<
713,printer,apple mouse,119,4,>
714,bench seat,iron bench,14,101,<
715,napkin,breakfast food,62,255,<
716,cardboard,pizza slice,84,30,>
717,zebras tail,zebra stripe,717,1235,">,<"
718,bathroom window,hand towel,107,31,>
719,store window,store front,30,86,<
720,outlet plate,crystal wine glass,118,41,>
721,box kite,lizard kite,126,278,">,<"
722,parliament building,ben clock tower,167,65,>
723,mac book,bed sheet,18,128,<
724,brick building,cell phone,91,32,>
725,cat,tail,410,104,>
726,windmill,cow,98,36,>
727,sausage dog,part,321,27,>
728,baseball player,baseman,121,44,>
729,earring,jean,10,136,<
730,water ski,water skier,71,132,">,<"
731,glass window,decker train,24,525,<
732,rain,glass window,101,5,>
733,roof,leaf,68,44,">,<"
734,front,metal fence,60,106,">,<"
735,car mirror,door car,44,106,<
736,pair,ear,887,113,>
737,range microwave,refrigerator,25,289,<
738,adult bird,rock,67,74,">,<"
739,iron leaf,bus front,106,282,<
740,sweat jacket,navel orange,113,52,">,<"
741,bed blanket,blanket,168,86,">,<"
742,kitchen table,batter hand,132,78,">,<"
743,access door,library book,126,48,>
744,jean,street sign,179,92,">,<"
745,bread bowl,pizza cheese,60,118,">,<"
746,broccoli,soup bowl,102,386,<
