,o1,o2,>,<,typical
70,part,eyeglass,72,173,<
71,bat,batter glove,220,17,>
72,storefront window,bus window,86,31,>
73,book,couch,77,998,<
74,concrete,skateboard wheel,209,19,>
75,traffic sign,bicycle,61,156,<
76,soccer player,player foot,145,10,>
77,truck front,block letter,96,9,>
78,handkerchief,dress suit,9,109,<
79,bay horse,horse rider,537,170,>
80,pillow,cat leg,73,29,>
81,rope fence,part,100,10,>
82,horse nose,draft horse,16,442,<
83,wine barrel,wine,101,39,>
84,tie,suit,190,1663,<
85,cow,pasture land,28,182,<
86,scissors,person hand,90,29,>
87,wing engine,propeller airplane,0,108,<
88,racket,wristband,651,39,>
89,beach tent,beach,50,143,<
90,paw pad,bear,2,138,<
91,bread,bread loaf,309,92,>
92,manhole cover,stop sign,17,107,<
93,horse side,bay horse,24,155,<
94,leg,water body,12,263,<
95,city transit bus,bus door,369,60,>
96,neon shirt,cell phone,148,46,>
97,passenger bridge,bridge pillar,115,5,>
98,shade tree,service vehicle,113,11,>
99,water body,focus tree,459,163,>
100,pant snowboarder,backpack,104,25,>
101,airport light,air france plane,21,133,<
102,apple magic mouse,keyboard key,200,36,>
103,food plate,crust edge,182,16,>
104,ear,person face,8,206,<
105,brow tree,iron leaf,240,35,>
106,row window,brick front,17,97,<
107,plane wing,turbine,168,13,>
108,airplane windshield,delta airplane,1,559,<
109,jacket skier,ski helmet,136,2,>
110,tee shirt,skateboard guy,40,123,<
111,backpack,metal fence,10,128,<
112,guy head,group,10,139,<
113,cow,dirt spot,127,15,>
114,sport motorcycle,motor cycle helmet,1055,36,>
115,zebras tail,acacia tree,16,625,<
116,ski pole,mountain top,48,242,<
117,ski pole,metal ski pole,236,96,>
118,dog,coffee cup,112,16,>
119,glass bottle,pizza,26,119,<
120,toothbrush,toothbrush head,436,175,>
121,home plate,crowd,2,145,<
122,clydesdale horse,dress hat,169,11,>
123,dinner napkin,sattelite dish,96,20,>
124,safety belt,dog,18,203,<
125,bush,day time,4,105,<
126,building window,bottom,34,90,<
127,couch pillow,window front,33,196,<
128,wicker basket,pillow,17,93,<
129,rise apartment building,building window,272,18,>
130,beak,eagle,26,108,<
131,speed train,train door,2073,89,>
132,sheep head,sheep nose,167,9,>
133,water body,bird reflection,175,42,>
134,smile,shirt,37,190,<
135,leaf,trunk,55,241,<
136,apple,food,3,99,<
137,part,bush branch,49,430,<
138,dog,storefront window,124,24,>
139,rose,wedding dress,3,112,<
140,cake layer,slice,19,86,<
141,grass cow,cow eye,432,5,>
142,chocolate dessert,cake top,122,8,>
143,cheesecake,dessert plate,46,117,<
144,letter,tee shirt,3,140,<
145,crt monitor,computer,26,75,<
146,tennis net,tennis visor,256,28,>
147,skiing glove,winter tree,26,176,<
148,brick building,villa tavern sign,90,23,>
149,print letter,teaspoon,0,104,<
150,tree top,powder snow,31,194,<
151,sea bird,bird beak,3002,35,>
152,game controller,kid,15,86,<
153,stone fireplace,lamp,97,15,>
154,room door,couch,64,185,<
155,cake,glass cake plate,213,48,>
156,street side,focus tree,33,112,<
157,tv,wii remote,99,35,>
158,baby head,grass field zebra,23,247,<
159,beard,eyebrow,177,10,>
160,food bowl,dinner fork,87,30,>
161,work horse,hat,278,9,>
162,circus elephant,spectator,165,44,>
163,sign letter,train sign,3,148,<
164,part,water wave,13,120,<
165,surfer riding wave,ocean horizon,77,27,>
166,plate number,pitcher vase,0,153,<
167,brick apartment building,traffic light,162,25,>
168,surfboard guy,surfer hand,228,24,>
169,powder snow,puma logo,138,1,>
170,amtrak train,glass window,362,6,>
171,glass window,city transit bus,4,300,<
172,wave crest,surfer hand,147,1,>
173,park fence,mom giraffe,37,89,<
174,pair,snow helmet,140,52,>
175,traffic light pole,traffic light sign,236,48,>
176,part,storefront,9,109,<
177,spoon,salad,14,145,<
178,trunk tree,rock,305,61,>
179,dog,marking,115,20,>
180,iron leaf,dog,49,308,<
181,coca cola umbrella,bike handle,125,16,>
182,town car,leafless tree,66,564,<
183,carriage wheel,police horse,29,226,<
184,bunch,wine,23,80,<
185,restaurant table,wine bottle,239,38,>
186,ski boot,ski track,31,227,<
187,dog head,shepherd dog,180,446,<
188,ski pole,person head,260,13,>
189,chicken sandwich,tomato,289,12,>
190,helmet kid,skateboard,5,102,<
191,part,baseball uniform pant,38,232,<
192,collard shirt,computer part,152,16,>
193,bike,bus sign,77,23,>
194,navel orange,sun spot,119,5,>
195,bread slice,sandwich plate,120,391,<
196,cat fur,cat eye,517,81,>
197,woman leg,woman arm,71,30,>
198,toilet paper,freezer part,112,44,>
199,tooth brush,window view,108,0,>
200,soccer uniform,soccer ball,973,116,>
201,ripple,breast feather,90,35,>
202,cow nose,cow face,11,95,<
203,rain,pant,119,9,>
204,bark,shade tree,24,115,<
205,adult zebra,mother,67,231,<
206,weed,grass field,37,174,<
207,snout,bear,41,1416,<
208,tennis sneaker,tennis racket,256,1226,<
209,nike hat,t-shirt,47,137,<
210,train wheel,train smoke,31,143,<
211,ear,camera phone,4,96,<
212,apple,pant,22,123,<
213,tree,handicap sticker,130,1,>
214,baseball batting helmet,baseball game,20,303,<
215,bread sandwich,sandwich plate,98,281,<
216,soda cup,mac laptop,3,172,<
217,carrot,plenty vegetable,119,464,<
218,jersey,soccer field,6,119,<
219,top,clock building,8,92,<
220,skate ramp,jean,194,30,>
221,propeller airplane,tail wing,744,62,>
222,league baseball player,grass patch,146,26,>
223,tie,group,37,757,<
224,forest,animal ear,315,0,>
225,park bench,purse,153,20,>
226,grizzly bear,face,237,79,>
227,salad bowl,broccoli stem,109,0,>
228,keyboard button,mouse cord,14,140,<
229,train track,slate rock,309,51,>
230,toll sign,street light,21,80,<
231,clock tower,story window,114,6,>
232,street bus,tree,38,140,<
233,player hand,wristband,100,19,>
234,rock,cow,267,744,<
235,helmet,dirt,26,222,<
236,traffic light,passenger train,1,119,<
237,moss,tree,22,132,<
238,toy dog,stripe,78,31,>
239,elephant trunk,mother elephant,41,993,<
240,mom giraffe,tail tip,264,0,>
241,land,ripple,73,29,>
242,honda motorcycle,view mirror,198,0,>
243,kitchen drawer,dog,35,95,<
244,watch,crystal glass,50,195,<
245,tennis shoe,shot pole,38,99,<
246,water bottle,wine glass,62,216,<
247,baby giraffe,bush tree,58,137,<
248,girl riding horse,horse tail,1006,44,>
249,baby,baby foot,342,41,>
250,fire hydrant,ticket window,112,25,>
251,wine glass,sundress,5,96,<
252,cake,cake tray,46,125,<
253,room light,twin size bed,4,172,<
254,bush tree,elephant trunk,933,178,>
255,kitchen,sink bowl,259,3,>
256,shadow,baseball,41,112,<
257,skier,snow mountain,107,255,<
258,suitcase,label,144,4,>
259,rainbow umbrella,glass window,112,0,>
260,mac book,monitor,51,204,<
261,leaf,forest,36,426,<
262,ink pen,mac laptop,0,115,<
263,food plate,plate,277,89,>
264,charter bus,bus window,109,7,>
265,skate board,skate ramp,27,105,<
266,flower,skateboard,63,330,<
267,leaf,traffic light,56,200,<
268,desk top,computer desk,30,256,<
269,string,chair cat,0,167,<
270,stack,shag rug,5,114,<
271,decker bus,shade tree,262,83,>
272,bowtie,suit jacket,19,197,<
273,snow glove,ski,4,121,<
274,glass shower door,faucet,126,1,>
275,telephone wire,road side,118,37,>
276,life jacket,fishing hat,82,18,>
277,race number,sport motorcycle,2,334,<
278,leaf,building front,101,466,<
279,breakfast food,coffee mug,141,21,>
280,edge,baseball bat,37,138,<
281,car,headlight,472,13,>
282,ski pole,snowsuit,39,142,<
283,zebra mane,focus tree,46,170,<
284,tennis match,tennis logo,121,7,>
285,lemon,baby carrot,26,85,<
286,leaf vegetable,spinach pizza,18,255,<
287,bathtub,toothbrush,116,21,>
288,brick building,rail train,62,205,<
289,dirt pile,part,130,19,>
290,dinner fork,food container,27,98,<
291,sea bird,ocean beach,179,542,<
292,baseball glove,glove catcher,67,512,<
293,town car,hotel,22,99,<
294,trashcan,towel,32,123,<
295,baby eye,baby shirt,5,218,<
296,gala apple,glass part,134,20,>
297,paint chip,life boat,0,120,<
298,batter helmet,baseball fan,27,178,<
299,leaf,foothill,10,181,<
300,coca cola umbrella,group,27,88,<
301,table knife,breakfast table,5,160,<
302,stop sign,tree branch,516,192,>
303,skiing glove,handicap skier,16,133,<
304,snow pant,ski mountain,25,245,<
305,blackberry phone,program icon,150,5,>
306,t-shirt,room light,99,21,>
307,night time,street light,104,2,>
308,bus sign,decker bus,20,1216,<
309,kite,tent,147,50,>
310,skater,skateboarding shoe,183,27,>
311,us flag,fire truck,30,80,<
312,mouse pad,desk lamp,22,110,<
313,wool sheep,herd,14,99,<
314,town car,sundress,81,24,>
315,animal ear,sand elephant,14,199,<
316,view mirror,tree,44,238,<
317,laptop mouse,monitor,14,437,<
318,rose,dress suit,4,106,<
319,rock,house cat,50,135,<
320,bathroom mirror,vase flower,202,10,>
321,giraffe,rope fence,196,67,>
322,emergency vehicle,license plate,137,0,>
323,city bench,bench arm,94,16,>
324,flower bouquet,silk flower,445,133,>
325,tennis racket,tennis shoe,6535,1616,>
326,curtain,alarm clock,102,16,>
327,surfer riding wave,body board,321,33,>
328,part,dinner table,4,122,<
329,rock,rock mountain,115,293,<
330,banner,elephant,23,135,<
331,cross country skier,tree trunk,92,17,>
332,tennis ball,pine leaf,184,48,>
333,racket,tennis net,215,652,<
334,freezer part,bathroom trash,21,79,<
335,ben clock tower,hour hand,292,6,>
336,collard shirt,spoon,181,30,>
337,computer monitor,soda,100,3,>
338,picture frame,blind,15,141,<
339,couch,table leg,145,6,>
340,ski trail,ski pole,253,68,>
341,train engine number,locomotive train,3,331,<
342,outfield fence,cap,125,10,>
343,tennis racket,sport bottle,107,0,>
344,roof car,size surfboard,85,31,>
345,beach umbrella,summer day,0,216,<
346,water raft,life vest,87,17,>
347,downhill ski,skiing slope,13,102,<
348,racket,tennis game,43,200,<
349,boogie board,ocean wave,231,92,>
350,dirt mound,baseball,94,38,>
351,beach,beach house,196,83,>
352,town car,metal fence,128,316,<
353,broccoli top,group,11,91,<
354,sugar bowl,banana slice,156,3,>
355,downtown building,awning,110,31,>
356,plant leaf,pot plant,15,168,<
357,work horse,polo shirt,188,12,>
358,swim shirt,kid,34,172,<
359,spaghetti strap shirt,watch,226,14,>
360,goat,zebra,40,120,<
361,book,liing room sofa,14,232,<
362,onion pizza,ketchup stripe,95,15,>
363,anniversary cake,plate cake,95,13,>
364,airplane,aircraft tail,159,10,>
365,sign letter,bolt,198,69,>
366,safety glass,jacket,26,110,<
367,flock,bush tree,116,41,>
368,bikini,group,18,82,<
369,chain,water hydrant,3,257,<
370,cat,chair cat,1151,3071,<
371,baseball game,field front,97,33,>
372,skate board,skate park,9,109,<
373,glass bus window,glass window,253,101,>
374,giraffe spot,giraffe pattern,65,195,<
375,tower clock,circle window,24,82,<
376,tennis field,tennis,34,114,<
377,town car,winter tree,6,131,<
378,pine leaf,spectator,0,126,<
379,rubber bus tire,fire truck,7,135,<
380,front,computer desk,15,115,<
381,soap bar,bathtub,1,110,<
382,shade tree,building roof,179,31,>
383,train traffic light,rail train,47,1007,<
384,market table,flower,103,26,>
385,ski top,winter tree,19,89,<
386,brick building,bus tire,188,6,>
387,glove catcher,home plate base,170,38,>
388,mountain goat,ram horn,204,22,>
389,glass flower vase,glass stem,106,1,>
390,snow glove,frisbee,30,73,<
391,rain umbrella,bunch,11,103,<
392,pant,box kite,30,129,<
393,sauce bottle,tomato pizza,8,105,<
394,shade tree,skating helmet,98,18,>
395,bird eye,eagle,13,124,<
396,baseball uniform pant,baseball player number,371,25,>
397,crystal glass,elephant,14,122,<
398,egg,reflection,119,4,>
399,tennis uniform,tennis shoe,190,15,>
400,vase flower,center,291,36,>
401,water tank toilet,toilet base,107,12,>
402,window front,pair,178,45,>
403,part,powder snow,251,4790,<
404,chilli dog,dog paw,123,10,>
405,home plate base,baseball player pant,47,189,<
406,baseball batting helmet,baseball field,37,330,<
407,room light,sweater,6,96,<
408,iron leaf,palm tree,41,279,<
409,skateboard ramp,skateboard guy,180,63,>
410,motorcycle wheel,bush tree,31,120,<
411,fruit bowl,lemon slice,93,14,>
412,house plant,entertainment center,17,118,<
413,tour bus,part,202,4,>
414,breakfast table,glass,492,75,>
415,giraffe,apartment window,107,11,>
416,pair,herd animal,29,90,<
417,sheep,foothill,47,272,<
418,sheep leg,sheep wool,36,248,<
419,tee shirt,tennis court,19,166,<
420,mama elephant,bush,279,109,>
421,street bench,adult hand,107,1,>
422,wine glass,place mat,32,234,<
423,mac laptop,laptop touch pad,106,10,>
424,wave,water body,468,2108,<
425,train front,locomotive train,98,898,<
426,baby tree,flower vase,110,9,>
427,air france plane,passenger jet,33,98,<
428,tank top,letter,111,7,>
429,pack,glove skier,2,101,<
430,soccer,soccer uniform,384,49,>
431,player pant,tennis court net,15,98,<
432,person skateboard,skateboarder,724,1903,<
433,bottom,pizza crust,31,77,<
434,sailboat,sun,151,44,>
435,computer keyboard,computer speaker,418,85,>
436,block letter,celebration cake,16,228,<
437,flower petal,rose,14,96,<
438,mountain,eagle bird,104,12,>
439,boat,surfboard,20,90,<
440,sheep nose,sheep head,9,167,<
441,group,stuff bear,117,34,>
442,face,tennis racket,39,323,<
443,toe,toilet,4,108,<
444,tomato,soup,24,78,<
445,truck front,fire truck,77,594,<
446,group,sock,198,3,>
447,body part,surfer riding wave,3,206,<
448,animal park,mom giraffe,100,23,>
449,van window,lunch truck,18,240,<
450,horse saddle,hat riding horse,35,295,<
451,cell phone,street sign,118,26,>
452,mushroom slice,spinach pizza,27,79,<
453,wine label,wine,32,128,<
454,butterfly bench,flower,302,59,>
455,baseball cap,shadow,26,113,<
456,body,sidewalk crack,133,6,>
457,pizza plate,utensil,165,50,>
458,cafeteria tray,chocolate,194,48,>
459,sign letter,sign pole,64,286,<
460,pen,scissors,35,144,<
461,cock pit window,building front,97,258,<
462,toothbrush,mouth,99,18,>
463,surfboard riding wave,head,344,16,>
464,nike shirt,metal railing,26,103,<
465,plane tail,cargo door,128,12,>
466,skateboard ramp,tree,84,19,>
467,toilet rug,tile,282,94,>
468,platform bed,lamp shade,108,1,>
469,hotdog,ketchup,607,57,>
470,part,ribbon,61,200,<
471,part,clydesdale horse,19,97,<
472,sign letter,metal pole,237,1425,<
473,glass part,pizza,3,139,<
474,ski pant,skier hand,270,52,>
475,building front,car window,115,19,>
476,bike helmet,street bike,4,222,<
477,person hand,index finger,146,14,>
478,amber eye,calico cat,0,172,<
479,cat ear,front,10,183,<
480,air canada plane,bottom,152,15,>
481,mountain rock,ski pole,131,39,>
482,cement truck,truck front,143,10,>
483,herb,pizza plate,40,110,<
484,apple mouse,printer paper,17,139,<
485,propeller airplane,airplane nose,203,9,>
486,hat,draft horse,25,392,<
487,fruit,spot,106,4,>
488,umbrella pole,straw umbrella,10,94,<
489,sail pole,fishing boat,72,417,<
490,piece,chair cat,25,128,<
491,dog,size surfboard,3,99,<
492,skateboarding shoe,shirt,67,333,<
493,stadium seat,baseball player,16,134,<
494,sheep leg,lamb,30,829,<
495,airport truck,bus head light,140,7,>
496,traffic arrow,buildinga building,19,317,<
497,river boat,canopy,114,20,>
498,hotel room bed,bed headboard,196,38,>
499,zebra,giraffe skin,103,7,>
500,ear,cedar tree,1,108,<
501,part,market umbrella,150,1039,<
502,shopping bag,bus window,97,36,>
503,coffee cup,table cloth,19,96,<
504,ketchup stripe,shirt,46,149,<
505,animal ear,mother bear,59,1787,<
506,ceiling light,bathroom mirror,9,124,<
507,glass window,street car,28,230,<
508,doughnut,mouth,107,17,>
509,spinach pizza,spinach leaf,590,34,>
510,motorbike,backpack,131,34,>
511,ear,grass elephant,386,2739,<
512,city transit bus,street light,275,35,>
513,floor carpet,part,171,31,>
514,dog collar,bench,7,107,<
515,woman tennis player,tennis skirt,237,50,>
516,cheese pizza,beer bottle,127,6,>
517,sailboat,beach umbrella,57,153,<
518,smoke trail,jet wing,118,2,>
519,hair dog,dog mouth,232,7,>
520,shirt,skateboarder,67,366,<
521,flower vase,candle,123,13,>
522,skating shoe,jean,23,169,<
523,teddy bear,christmas ornament,153,29,>
524,train window,rail train,49,1244,<
525,car,car windshield,132,50,>
526,stripe,train door,218,49,>
527,pony tail,tennis court,8,95,<
528,breakfast table,banana,257,71,>
529,computer wire,cat,26,186,<
530,bathroom wall mirror,bathroom toilet,128,47,>
531,paint,paint bottle,88,13,>
532,tile,bathroom stall,24,162,<
533,onion pizza,reflection,111,11,>
534,train number,bush tree,8,163,<
535,house cat,cat ear,8508,645,>
536,luggage,delta airplane,11,121,<
537,bridge,dog,81,32,>
538,tower window,church window,41,103,<
539,brick building,tower clock,708,52,>
540,shirt,foot,86,22,>
541,handlebar,motorbike,7,105,<
542,sport shoe,tennis player,2,114,<
543,spoon,glass bowl,29,124,<
544,food plate,tomato,555,70,>
545,chain link fence,tennis cap,193,6,>
546,fork,freezer part,998,171,>
547,street light,train wire,15,87,<
548,storefront window,suv,18,93,<
549,toilet,tile pattern,110,27,>
550,carrot top,gala apple,54,188,<
551,print letter,pita bread,0,150,<
552,dress shirt,tie,2398,729,>
553,cow,gate,152,62,>
554,size surfboard,rock,138,12,>
555,bottle label,wine,25,93,<
556,shoe,dirt circle,114,10,>
557,stack book,library book,96,29,>
558,shoe,raincoat,12,181,<
559,tie dye shirt,market umbrella,32,218,<
560,airplane,plane nose,705,16,>
561,stuff animal,fox,96,14,>
562,bus,bus wheel,1696,101,>
563,car driving,tree,21,146,<
564,mac laptop,cat ear,468,21,>
565,toy cat,ribbon,113,28,>
566,house cat,ear,248,19,>
567,dozen donut,donut crumb,224,23,>
568,suv,building window,797,75,>
569,street bench,winter coat,83,20,>
570,reflection,surfer riding wave,26,119,<
571,water bottle,tuxedo cat,30,120,<
572,pumpkin,bench,15,91,<
573,paint bucket,toilet,3,120,<
574,sandwich half,beverage glass,130,39,>
575,animal ear,animal,21,192,<
576,ear,rock bird,15,85,<
577,person leg,person skateboard,59,291,<
578,group,stripe shirt,113,10,>
579,stove,stove front,97,33,>
580,decker bus,street car,752,55,>
581,flower,cow field,12,154,<
582,vegetation,ear,114,6,>
583,shirt button,checker shirt,16,86,<
584,goat horn,cow,12,149,<
585,train door,train,104,790,<
586,toothpick,tuna sandwich,11,263,<
587,grass field,dog,482,124,>
588,graffiti,part,438,57,>
589,pant,apartment window,249,86,>
590,christmas tree,coffee table,96,34,>
591,plate food,mash potato,131,2,>
592,marking,adult zebra,16,93,<
593,train,train wheel,127,16,>
594,horse head,adult horse,78,389,<
595,vase flower,table edge,130,11,>
596,greyhound bus,town car,122,13,>
597,train engine windshield,train,22,197,<
598,hotel room bed,wall phone,194,1,>
599,kitchen microwave,cabinet handle,145,7,>
600,life boat,water body,135,414,<
601,tennis court,tennis bag,174,6,>
602,pair,wheel skateboard,35,93,<
603,sausage dog,skin patch,157,12,>
604,train track,backpack,129,17,>
605,elephant head,elephant trunk,832,164,>
606,motorcycle,person leg,150,5,>
607,grass patch,wool sheep,2,144,<
608,clay tennis court,tennis shoe,503,38,>
609,player hand,tennis racket,205,1096,<
610,train front,platform sign,299,50,>
611,giraffe spot,wood,45,301,<
612,sign letter,parking stripe,17,120,<
613,whisker,cat face,7,124,<
614,baseball cap,bicycle,16,172,<
615,set,stair,177,64,>
616,building window,bus window,152,359,<
617,doorway,wine glass,88,13,>
618,animal ear,elephant foot,136,56,>
619,cat,glass,141,11,>
620,part,horse mane,35,153,<
621,train head light,gravel,44,369,<
622,truck tire,view mirror,133,26,>
623,desk lamp,laptop mouse,148,21,>
624,bus stop bench,trash,79,28,>
625,shower tile,glass part,93,31,>
626,tennis ball,tennis racket,3529,10750,<
627,street light,bus number,95,20,>
628,maple leaf,focus tree,64,346,<
629,flower,bus window,73,30,>
630,hand,checker shirt,29,90,<
631,utility meter,parking meter,28,99,<
632,transit train,passenger train,64,171,<
633,ball cap,t-shirt,21,108,<
634,bus sign,bus front,273,657,<
635,part,sunset,4,134,<
636,baseball bat,player number,109,29,>
637,cow eye,bull,3,226,<
638,pillow,headboard slat,116,20,>
639,trolley bus,bus door,306,57,>
640,town car,tower window,231,2,>
641,water bird,zebra,38,98,<
642,windsurfing kite,box kite,48,122,<
643,sock,jean,41,491,<
644,polythene paper,house cat,27,91,<
645,water wave,surfing suit,128,33,>
646,sweater,video game,13,126,<
647,bathroom toilet,toilet lid,1102,91,>
648,hand,elephant,48,353,<
649,motorcycle part,front,36,155,<
650,arm,bicycle,22,80,<
651,nike shirt,skating ramp,23,123,<
652,ear,plaid shirt,5,285,<
653,beard,mustache,239,44,>
654,jacket,umbrella hat,91,33,>
655,cake table,cake,322,98,>
656,boat window,tug boat,19,408,<
657,shampoo bottle,shower tile,12,184,<
658,coffee cake,crumb,108,3,>
659,ripple,reflection,50,173,<
660,motorcycle wheel,kick stand,109,3,>
661,salad bowl,banana,86,16,>
662,clock face number,metal clock,5,129,<
663,person leg,base ball player,32,211,<
664,tower clock,brick clock tower,45,1089,<
665,person leg,cell phone,35,95,<
666,book,laptop computer,30,131,<
667,paper plate,shirt,28,88,<
668,street light,person skateboard,64,229,<
669,pot plant,motorcycle,23,99,<
670,carrot piece,food container,5,167,<
671,plant,hazel eye,95,5,>
672,runway light,propeller plane,12,166,<
673,horse,person head,331,3,>
674,ski pant,handicap skier,41,115,<
675,desk phone,mac keyboard,34,220,<
676,traffic light,crosswalk stripe,51,156,<
677,tennis spectator,sunglass,158,13,>
678,baseball player,safety helmet,205,2,>
679,ski cap,pant snowboarder,5,132,<
680,roof car,foot print,229,5,>
681,winter clothing,ski jacket,105,29,>
682,tomato sauce,pepperoni pizza,29,111,<
683,taxi car,street bike,34,139,<
684,snowboard guy,group,15,128,<
685,city bus,part,231,13,>
686,airway plane,airport runway,115,34,>
687,meat,fry plate,41,108,<
688,player shirt,soccer shoe,110,7,>
689,bed spread,bed lamp,97,12,>
690,mug,monitor,16,95,<
691,butterfly,lemon slice,192,76,>
692,fire truck,truck light,127,5,>
693,giraffe spot,tree giraffe,169,1181,<
694,skiing pole,ski slope,5,95,<
695,dozen donut,store shelf,30,107,<
696,book,park bench,11,148,<
697,sweater,mac book,90,16,>
698,brick building,bike lane sign,127,9,>
699,adult cat,tuxedo cat,216,47,>
700,glass window,cell phone,38,136,<
701,cabinet,kitchen light,150,45,>
702,pot plant,bird,86,18,>
703,giraffe leg,neck giraffe,156,1025,<
704,navel orange,freezer part,969,77,>
705,giraffe,giraffe snout,145,10,>
706,glass part,tv,39,335,<
707,group,elephant side,108,10,>
708,toilet brush,toilet seat,15,539,<
709,ski mountain,orange,111,7,>
710,windmill,pole,118,0,>
711,downtown building,motorcycle,43,118,<
712,fruit,tomato,199,38,>
713,bear,forest tree,37,99,<
714,sky kite,kid,84,25,>
715,coconut tree,part,142,22,>
716,cat ear,cat nose,643,32,>
717,baseball bat,home plate umpire,548,2114,<
718,road sign,sign letter,812,59,>
719,frisbee,necklace,92,16,>
720,snowboard helmet,snowboard pant,18,132,<
721,chrome motorcycle,bike wheel,107,17,>
722,bus stop bench,jean,119,21,>
723,coca cola umbrella,pant,102,10,>
724,building front,window building,121,323,<
725,onion pizza,fork side,191,27,>
726,phone,sunglass,119,28,>
727,door truck,truck wheel,255,22,>
728,pant,protest sign,37,120,<
729,front,motor cycle helmet,197,83,>
730,building glass window,motorcycle,8,98,<
731,train front,trolley track,23,119,<
732,tail wing,air france plane,34,346,<
733,window,cat eye,225,3,>
734,leaf,rail train,3,152,<
735,shower tile,sink edge,88,21,>
736,baseball player,leather catcher,230,4,>
737,rail train,platform,418,113,>
738,polka dot tie,shirt button,244,48,>
739,shrub,grass field,22,122,<
740,train track,power pole,79,29,>
741,phone book,laptop computer,21,112,<
742,vapor trail,airplane,94,35,>
743,beak,wing feather,4,107,<
744,gravel,train engine number,299,12,>
745,giraffe,baby carrot,120,6,>
746,dairy cow,oil spot,124,19,>
747,library book,bookcase,14,310,<
748,door car,grass patch,118,40,>
749,water body,tow rope,421,113,>
750,cherry wood,sign letter,90,14,>
751,flower,suitcase,43,251,<
752,shoe,sweat jacket,14,138,<
753,ear,chair cat,9,157,<
754,sweat jacket,hat,88,17,>
755,bathroom mirror,facet,101,6,>
756,bench,picnic table,43,104,<
757,mac book,desk,57,278,<
758,bear,hazel eye,446,7,>
759,glass bus window,decker tour bus,39,271,<
760,building door,glass window,260,6,>
761,bird chest,bird,40,302,<
762,sport motorcycle,motorcycle wheel,603,40,>
763,mountain,rowing boat,91,32,>
764,lettering,t-shirt,13,88,<
765,metal window,building window,147,33,>
766,train car door,car train,6,104,<
767,skateboard skater,skate board wheel,202,2,>
768,umbrella,street bench,116,371,<
769,yacht,water body,28,72,<
770,freezer part,toilet seat,48,371,<
771,tier cake,candle,133,5,>
772,tea shirt,table top,98,29,>
773,fry plate,condiment bowl,113,42,>
774,delta airline plane,airport building,121,28,>
775,phone wire,iron leaf,132,31,>
776,nike shirt,water bottle,88,16,>
777,air france plane,plane nose,385,30,>
778,shoe,box kite,14,190,<
779,propeller plane,plane wing,1603,205,>
780,mac laptop,usb cord,127,15,>
781,tennis net,nike headband,129,0,>
782,paddle,dragon boat,31,110,<
783,frisbee player,group,27,80,<
784,bread pizza,pizza slice,188,48,>
785,soccer player,soccer,206,1009,<
786,plenty fruit,spot,245,0,>
787,baseball field,stripe,100,10,>
788,downtown building,sign letter,404,25,>
789,chain link fence,zoo animal,44,130,<
790,tree top,palm tree,42,197,<
